#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-21.000000   127.152997    127.152997    127.152997   127.152997  -nan
-20.666667   111.639816    112.222729    119.247722   116.517449  71.713693
-20.333333   111.421661    115.495377    119.569093   115.495377  132.761301
-20.000000   102.360117    104.159092    106.851756   104.027763  14.394183
-19.666667   92.546088    95.810073    99.882082   96.095665  22.226252
-19.333333   84.334955    87.571156    91.317626   88.399059  26.688138
-19.000000   78.652494    80.437577    83.288194   81.555615  29.844147
-18.666667   72.334933    76.159164    83.521491   78.409565  61.708263
-18.333333   68.248030    71.519851    79.067711   74.069311  54.672439
-18.000000   64.483792    68.885367    75.931785   70.544119  53.602878
