#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.560954    0.808698    0.993625   0.769809  0.053214
-21.533333   0.553759    0.856707    0.998708   0.777360  0.054902
-21.066667   0.551304    0.767538    0.988535   0.756042  0.053679
-20.600000   0.493502    0.602620    0.814730   0.657042  0.043010
-20.133333   0.489130    0.585671    0.753447   0.635875  0.037238
-19.666667   0.479158    0.547929    0.683705   0.597892  0.031458
-19.200000   0.463166    0.536268    0.611502   0.546998  0.021293
-18.733333   0.408368    0.509239    0.609433   0.515172  0.021496
-18.266667   0.377641    0.455174    0.601278   0.480480  0.025974
-17.800000   0.329626    0.431614    0.564089   0.435369  0.035773
-17.333333   0.226719    0.400348    0.534034   0.384005  0.043810
