#1.ID #2.spheroidStellarMass #3.diskStellarMass #4.diskGasMass #5.diskStellarLuminosity:SDSS_i:observed:z0.1000 #6.spheroidStellarLuminosity:SDSS_i:observed:z0.1000 #7.diskCircularVelocity #8.spheroidCircularVelocity
1000             28095822650.8069        38114885242.1316        155293320.841107        293483945.283782        123768672.393435        323.589847802388        337.968453421656        
1001             22289442215.0319        26051428224.8404        -7.43244009021893e-33        88411167.4431058        80200304.1102919        626.581829492262        675.398383594738        
1002             14545529635.4757        17911179810.0327        0.025645031860572        67974216.7013212        59610775.9472751        229.640400289905        246.917654470642        
1003             30667895559.4733        42384330243.3639        22864781.0626402        239075936.504417        121432561.200404        406.031175080417        460.387908183912        
1004             42709591891.8079        15631640259.4893        4033848.33319463        108373099.744373        211695206.654631        192.433706710444        208.38816614286        
1005             51470283932.6494        1827809074.64044        2948154306.85898        53064097.9023256        242428436.844185        158.853896901714        156.148058358885        
1006             27598085419.0382        35357142584.3907        15640871.2142178        174981435.969712        118518423.613213        388.434990083891        415.125359107737        
1007             49027398923.1837        19801204442.9948        55955256.6528057        312743593.860317        235275429.056717        435.621805774599        434.082617291963        
1008             23255214727.0045        22924192610.1906        -2.34948391705315e-32        93164002.1899491        105934424.818464        444.708841088236        470.841424297469        
1009             16999458542.1413        220431286.87525        2880636950.51937        11973961.6275718        94278020.9761629        121.762319518012        110.387967841619        
1010             31674513661.6155        40783337.9181544        269761370.537783        1150129.10450419        180561789.968618        142.284225751692        136.543229676865        
1011             22261463523.1195        29493786121.6018        69080835.1595631        221987958.989248        103834794.342688        338.499784390147        359.936768485757        
1012             31354352458.1058        40068716159.0562        11830993.0794288        237658215.164404        130198586.964779        513.44958170684        588.667578356333        
1013             22367620559.0732        29191035656.9588        588395599.756658        376747735.679157        129256681.658928        267.829330496387        261.253551626308        
1014             20325734343.0819        32488220056.1936        672909451.301149        346707892.985624        103082002.146723        233.165858285449        238.678588663102        
1015             66157612177.6927        1311758506.43317        7993841.59139052        9387621.18963088        301537619.617628        200.309141754438        365.474196193272        
1016             47763481534.1046        3300044478.8739        717642846.130714        135115614.732734        318142555.839136        231.644538937639        240.024162447001        
1017             26848664489.7281        35153345086.0948        1.64511837787771e-17        128762981.718395        102877413.633993        341.186092111646        359.662334018434        
1018             20456319242.8516        31842724825.1184        205116166.281592        258728815.477799        99150444.0833706        218.995618533386        241.072983589516        
1019             12195307398.9729        19805770345.043        2872789.14002674        94206866.5306035        60415185.8171891        152.843760242755        139.904088502716        
1020             33345101592.0528        39254149000.8515        645836.631338489        194851178.725194        129726940.238804        529.37212827157        561.53690543178        
1021             32069890683.869        39828834990.3702        0.116921731624102        163487389.350523        134364434.706185        339.248814859628        364.886651498921        
1022             45523242169.9751        4731428163.75452        1944914301.3348        81311286.1104535        187807299.353109        180.665266875407        233.041159990862        
1023             14976708742.3858        23129573836.4006        413229600.16541        186526640.47856        68279054.3446734        228.042302648141        245.543893927349        
1024             0        1002060863.59946        14708555915.8953        62442719.9596132        0        93.9339518544152        0        
1025             16357107834.9578        15898439.5339824        823745740.179343        3719315.70068773        168180623.380218        105.357021693551        99.839453718383        
1026             14835770783.0203        3101345094.97586        3422935215.1419        110672644.340261        92798453.2119999        132.095838782796        124.549028949496        
1027             22201162020.4252        29393872567.7653        63123724.3987735        252355215.014162        101728263.595829        370.708622297326        402.148156569055        
1028             18737653277.4488        25309738510.9022        83748537.3899628        171242759.346579        77915094.4736345        310.519035592924        335.580099918363        
1029             22814937331.3908        2436017851.84251        6167254735.7929        116686290.861495        172410532.935087        129.346088381628        119.72496504302        
1030             16450904332.6496        16745264740.8189        565110402.173585        170465609.650205        90238361.166639        180.854832693227        183.366805793114        
1031             36087974563.2919        32672798597.8888        129209755.353493        305104005.559571        142013232.967993        348.461250321556        364.099679920169        
1032             37329736514.8908        12933855398.9415        813707569.10584        178044694.920302        187677172.955216        199.02945576161        213.264296700248        
1033             36769119270.517        8861045685.67569        8909229.91867284        51120644.4020197        153445082.776812        408.153805231434        438.508727326293        
1034             27019565388.196        34306326156.8407        27375148.4738017        226583579.531993        101786893.031886        443.945148480366        479.86551016434        
1035             18795262744.546        17741341797.0448        -2.33670856183454e-30        62275368.7312267        74850481.5264005        504.7612869732        543.550656040616        
1036             24565842322.7244        30727503696.4813        125099159.555297        332204191.392735        119382630.185535        357.379045805806        369.332499650584        
1037             30255894161.3072        35136181455.068        14503924.9960007        317143198.771223        148109350.938509        520.052317024679        541.144328769059        
1038             49729642795.5723        3520547181.93166        926807141.740503        74416693.6972928        281033764.033412        181.623581334872        202.995521083637        
1039             26376032625.694        5907056316.11668        3610152118.73419        87194351.8125837        120507981.258183        136.79306052769        125.995606157564        
1040             15890732241.3702        16247719937.7968        2147821873.25996        259371030.469711        81438360.6116848        176.257242307266        171.254723097819        
1041             32285694458.0015        9576256156.26955        877074835.830697        75175809.3691296        138052590.918381        154.842276734861        160.129608180958        
1042             27383540661.0181        33670873246.3021        4425522.12048251        155341831.469471        99796898.7939949        516.500369994069        563.523683902922        
1043             22824015247.0364        42759639355.2073        1352608364.59449        396855878.224602        105938518.69456        214.184822904025        215.504656068363        
1044             4221081363.83093        13271675473.3133        4130039719.68002        166469078.011384        25259210.7505719        115.41398780222        95.7168931068061        
1045             31550217030.3665        38369465191.8402        4466054.56347771        250617498.801343        117124221.537532        649.797881204017        715.623533215472        
1046             17632051314.5012        27089844999.5954        1810699916.38645        508455343.871576        110437136.945786        226.175109064497        225.358964669533        
