#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.299688    0.361985    0.420847   0.359474  0.009782
9.600000   0.241556    0.309552    0.374990   0.309436  0.011161
9.700000   0.184295    0.261033    0.334799   0.259818  0.011057
9.800000   0.139521    0.213935    0.287321   0.216872  0.010563
9.900000   0.102927    0.174053    0.245207   0.177454  0.009104
10.000000   0.065659    0.123414    0.190404   0.135100  0.007474
10.100000   0.042722    0.087112    0.147454   0.101070  0.005421
10.200000   0.025350    0.053751    0.100998   0.070320  0.003255
10.300000   0.011026    0.027321    0.061122   0.044255  0.002189
10.400000   0.007297    0.017921    0.047971   0.035185  0.001786
10.500000   0.005114    0.015127    0.038585   0.031359  0.001661
10.600000   0.004467    0.014023    0.029756   0.023387  0.000766
10.700000   0.004350    0.010393    0.026435   0.021425  0.000836
10.800000   0.005107    0.010558    0.026144   0.018807  0.000407
10.900000   0.004157    0.011659    0.022758   0.016248  0.000243
11.000000   0.002945    0.006601    0.015258   0.010853  0.000126
11.100000   0.002586    0.004126    0.009264   0.007969  0.000131
11.200000   0.001779    0.002871    0.004626   0.003886  0.000010
11.300000   0.001451    0.002100    0.002858   0.002571  0.000004
11.400000   0.001724    0.001746    0.002181   0.002021  0.000000
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
