#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.602530    0.647960    0.689214   0.637960  0.015973
9.066667   0.577177    0.625326    0.669071   0.618141  0.012573
9.133333   0.538615    0.582955    0.629659   0.581384  0.012016
9.200000   0.502985    0.544687    0.587975   0.539647  0.010936
9.266667   0.459663    0.504001    0.555605   0.506292  0.009582
9.333333   0.414254    0.463484    0.516468   0.462789  0.008568
9.400000   0.374474    0.426460    0.476588   0.426338  0.008533
9.466667   0.333916    0.390887    0.445843   0.390357  0.008689
9.533333   0.294708    0.354760    0.411209   0.355580  0.008792
9.600000   0.259632    0.318648    0.381916   0.321365  0.009470
9.666667   0.216054    0.288289    0.357098   0.291209  0.010248
9.733333   0.182580    0.255997    0.325647   0.257282  0.009655
9.800000   0.155755    0.224203    0.298851   0.230332  0.009451
9.866667   0.136427    0.202291    0.275205   0.208163  0.008183
9.933333   0.117501    0.183971    0.247683   0.188907  0.007302
10.000000   0.097117    0.151308    0.211761   0.162385  0.006218
10.066667   0.088207    0.133361    0.189429   0.144945  0.005036
10.133333   0.081675    0.114776    0.167490   0.129744  0.003979
10.200000   0.072725    0.099032    0.140808   0.112483  0.002762
10.266667   0.069235    0.093518    0.133750   0.106427  0.002207
10.333333   0.064208    0.079014    0.116368   0.095337  0.001810
10.400000   0.064763    0.088272    0.114908   0.099894  0.002190
10.466667   0.063138    0.081651    0.115698   0.092911  0.001477
10.533333   0.061001    0.079799    0.117522   0.095847  0.002216
10.600000   0.058174    0.073522    0.091158   0.080987  0.000887
10.666667   0.060205    0.077391    0.100627   0.082184  0.000553
10.733333   0.062410    0.076030    0.124920   0.099172  0.002485
10.800000   0.055925    0.071532    0.085181   0.071546  0.000303
10.866667   0.057668    0.062814    0.066071   0.064137  0.000094
10.933333   0.057775    0.058375    0.059885   0.057379  0.000016
11.000000   0.051774    0.052256    0.052739   0.052256  0.000002
