#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.547138    0.797416    0.994527   0.764697  0.055565
-21.533333   0.540171    0.756146    0.996077   0.755956  0.054595
-21.066667   0.512151    0.680641    0.974188   0.718556  0.053431
-20.600000   0.490140    0.591230    0.773522   0.644744  0.040562
-20.133333   0.473668    0.558448    0.705596   0.609761  0.035346
-19.666667   0.468631    0.524832    0.612997   0.562452  0.026027
-19.200000   0.454976    0.522866    0.584904   0.526466  0.018592
-18.733333   0.390729    0.475872    0.578393   0.484682  0.020777
-18.266667   0.359645    0.427906    0.558316   0.447738  0.026820
-17.800000   0.285502    0.393720    0.516147   0.393604  0.039184
-17.333333   0.223339    0.389026    0.514780   0.373589  0.044209
