#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.652703    0.704835    0.749460   0.688291  0.013434
9.066667   0.630862    0.679591    0.712365   0.665124  0.010215
9.133333   0.603604    0.654085    0.690369   0.641694  0.010178
9.200000   0.575594    0.617454    0.658993   0.608566  0.008190
9.266667   0.540489    0.582481    0.624128   0.573353  0.009776
9.333333   0.493331    0.542801    0.588626   0.536154  0.008583
9.400000   0.453933    0.509325    0.555803   0.499903  0.008431
9.466667   0.413674    0.466847    0.523540   0.464539  0.009163
9.533333   0.355454    0.425052    0.490328   0.422951  0.010791
9.600000   0.313412    0.388664    0.457331   0.384999  0.010413
9.666667   0.271122    0.341221    0.416185   0.342322  0.011257
9.733333   0.221950    0.301511    0.388625   0.305984  0.012258
9.800000   0.188786    0.264630    0.355242   0.272275  0.012074
9.866667   0.156553    0.237110    0.320305   0.241312  0.011426
9.933333   0.136498    0.204459    0.289546   0.216320  0.010032
10.000000   0.112400    0.179205    0.257061   0.191501  0.009195
10.066667   0.094817    0.149384    0.223865   0.166884  0.007646
10.133333   0.084063    0.125794    0.186646   0.143277  0.005481
10.200000   0.073681    0.107034    0.157290   0.126434  0.004891
10.266667   0.068733    0.095808    0.142325   0.115028  0.003924
10.333333   0.068093    0.089376    0.138643   0.113472  0.004045
10.400000   0.065854    0.091629    0.128756   0.106038  0.002983
10.466667   0.067740    0.100686    0.143110   0.116341  0.003874
10.533333   0.063839    0.079505    0.120795   0.097024  0.002317
10.600000   0.069012    0.091646    0.118629   0.098193  0.001416
10.666667   0.064029    0.074891    0.113248   0.092744  0.001639
10.733333   0.059149    0.083370    0.104688   0.091867  0.001960
10.800000   0.071857    0.083313    0.102933   0.087223  0.000567
10.866667   0.063414    0.064373    0.074525   0.073070  0.000434
10.933333   0.052191    0.058775    0.092605   0.069118  0.000423
11.000000   0.067848    0.081833    0.095819   0.081833  0.001565
