#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.607638    0.939305    0.994839   0.807723  0.049000
-21.533333   0.588292    0.925265    0.997629   0.803407  0.050335
-21.066667   0.566909    0.836693    0.993555   0.777157  0.053845
-20.600000   0.500427    0.618889    0.889856   0.675853  0.045642
-20.133333   0.494314    0.597406    0.772633   0.646403  0.038046
-19.666667   0.481935    0.551341    0.689689   0.600404  0.031040
-19.200000   0.463136    0.536989    0.615542   0.548708  0.021252
-18.733333   0.413273    0.513642    0.613698   0.520293  0.021058
-18.266667   0.387990    0.463256    0.604287   0.487092  0.025149
-17.800000   0.336850    0.441051    0.573327   0.441399  0.035194
-17.333333   0.225722    0.410591    0.547151   0.389390  0.045491
