#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-21.000000   127.145763    127.145763    127.145763   127.145763  -nan
-20.666667   111.928154    119.109938    126.066039   118.884255  70.340443
-20.333333   109.617662    112.148824    114.679986   112.148824  51.254236
-20.000000   100.720130    103.938319    104.798492   102.975531  13.810332
-19.666667   92.593093    96.031484    98.374725   95.512910  27.536915
-19.333333   83.320833    85.878841    91.975878   88.070261  35.398833
-19.000000   79.302936    82.786184    86.171150   83.353365  38.505503
-18.666667   72.519683    76.948319    84.726260   79.440769  68.199394
-18.333333   68.910343    73.237606    79.744429   74.936870  54.799855
-18.000000   66.443011    69.382258    77.036705   71.528333  52.663374
