#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.369438    0.438303    0.501124   0.431214  0.012117
9.600000   0.297739    0.373646    0.444456   0.368231  0.012262
9.700000   0.225848    0.309884    0.395191   0.308990  0.014106
9.800000   0.169770    0.251819    0.345650   0.256031  0.013772
9.900000   0.121921    0.204266    0.291152   0.209485  0.012050
10.000000   0.079271    0.147293    0.234096   0.162173  0.010976
10.100000   0.053398    0.103854    0.175363   0.121227  0.007394
10.200000   0.032097    0.064205    0.117283   0.084153  0.005054
10.300000   0.015069    0.036541    0.078449   0.056914  0.003755
10.400000   0.010394    0.024939    0.057313   0.044933  0.002842
10.500000   0.007994    0.021969    0.054210   0.040410  0.002404
10.600000   0.005418    0.020980    0.049011   0.036210  0.001788
10.700000   0.005718    0.018842    0.047513   0.033448  0.001547
10.800000   0.007209    0.019958    0.035156   0.026872  0.000772
10.900000   0.004382    0.015787    0.036675   0.023749  0.000580
11.000000   0.003380    0.009458    0.017193   0.014332  0.000306
11.100000   0.001931    0.002962    0.006350   0.006596  0.000062
11.200000   0.001979    0.003257    0.007417   0.005811  0.000032
11.300000   0.001474    0.001866    0.002857   0.002316  0.000002
11.400000   0.000000    0.000000    0.000000   0.000000  0.000000
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
