#1.treeId       #2.nodeMass      #3.diskStellarMass     #4.diskGasMass        #5.diskCircularVelocity     #6.spheroidStellarMass      #7.spheroidGasMass
200              6806130130944      6328158654.3148      4767826668.20475    251.835805929514              110642532587.036          59.3710863052196
201              6801129996288      0      0    0              0          0
202              6696369913856      57065387200.2294      15067724549.3133    224.391557760284              57430786241.6574          1.7120617419494e-05
203              6695449788416      15402669664.5059      6707572345.4124    131.985812082768              6106199525.29753          0.000136444629115703
204              6684210102272      43477405899.2406      -1.33482533530007e-33    613.02514147789              61167124568.2801          3.01058562069339e-14
205              6658830368768      58043427967.6925      -9.86090475846863e-33    912.211927431302              63655621535.6389          4.11142571476715e-15
206              6654589927424      157457224.908033      1906673146.56948    209.228638423088              144395342671.641          217208375.451676
207              6625420115968      55103377032.2862      831127059.567751    254.386769698459              33496456118.4999          9.03775447226687e-09
208              6610780422144      15482140193.9902      11599500090.4194    211.357633114691              56501761292.5768          16017.362100811
209              6598519947264      25405405549.1351      -9.73344705668123e-33    557.10685027829              31175847001.1853          1.71637874418889e-15
210              6591229722624      23961250475.739      1451948.57870574    333.89968663791              89802221111.6051          3.37013582760432e-10
211              6553279660032      202086144.824343      1787926642.49186    223.70997121333              134475659220.096          21667.210082897
212              6483740196864      31441341517.3022      6098717215.38574    168.753965857857              20770624604.2943          2.48087866025848
213              6481199497216      20638172561.0019      1819873886.2888    224.176402939085              102284262549.591          11984.3289093761
214              6468419452928      18709406519.3678      6160400319.26558    257.275895019973              96641017173.3292          0.508409023469858
215              6429959782400      572326913.528336      1803778729.96454    234.920281230634              137524638475.686          270974.051596395
216              6359099637760      11934929.9582144      1386851413.31424    232.275017795069              133387667947.909          1.67310859505342e-12
217              6354479611904      0      0    0              0          0
218              6317039681536      32243394769.6279      -7.38275320868024e-31    525.066321724815              102058672576.246          2.24029625770346e-13
219              6262139912192      13292777778.4953      2124977095.164    247.227325944612              118752927509.97          3772.95514712602
220              6206659756032      19644734972.5264      19667372040.5864    232.092339945793              114479656395.367          19124.3642295805
221              6193479680000      14139939865.8082      3.48010139190435e-29    596.907850690974              111432038651.962          1.30178899699498e-13
222              6171310161920      10803966839.411      4172732841.96455    227.926786171996              75221357944.2392          1242.37009936766
223              6148139778048      46453822598.3014      27072573.7851853    306.510794301213              69065405405.618          1.60524719179836e-07
224              6129119657984      32807894685.0747      9.85896748838509e-10    416.613710834522              58365558732.6599          1.84674515341668e-13                                 
226              6111249825792      11367852286.02      154296459.885542    404.034646612114              138424590272.408          5.0320843906289e-13
227              6056389902336      11954047833.1892      710675187.558702    240.623200149836              157135447744.602          8.64099893898711e-12
228              5956840194048      6536147189.4696      60737644.6348468    300.460146248797              117688390738.176          0.00723671697929778
229              5897259581440      69654097809.2014      2739081552.62868    299.728360049119              55069675531.4579          1.9481750290438e-12
230              5877280014336      6523848950.13168      1026240221.2784    243.815277546238              177646956097.7          4146.08373039722
231              5783509532672      78538988198.4557      24.5944985597482    356.725260663217              54694234207.4863          9.40714622680303e-14
232              5676499730432      101204205826.007      2.47906792943804e-26    654.368557423061              100304985599.645          8.77036773150817e-14
233              5659159953408      27508804142.8523      2848163418.48548    270.459948431622              124132747707.565          0.816763299446406
234              5626860142592      9693846670.72041      12695126631.0978    156.772512823373              36751541981.2904          10338.9735855
235              5604449976320      0      0    0              131294656705.835          0.000291641836802885
236              5594889584640      53450460791.7044      1627827.21759641    300.634699360365              37288735481.2869          3.66905861279511e-12
237              5551890104320      0      0    0              0          0
238              5532820176896      19257105802.8931      8.01154279788782e-29    585.386210786057              113932426857.979          3.31319787808811e-13
239              5531689811968      1461372566.47265      7736915953.8035    226.20719245929              151504022621.677          178442.228437414
240              5424250093568      8313485563.76259      1667740112.66515    217.329515225323              73778391983.5486          114.82697568594
241              5380279631872      37976970950.595      7483866294.51914    211.116020728471              57769329249.1285          34192.6763599243
242              5380260233216      9040714461.124      4521866017.87851    254.785741533982              165067854327.606          7.15554971105188e-06
243              5374609981440      0      0    0              43870386018.0563          226979.638060434
244              5360839557120      7671910613.2469      1657530028.01898    282.72757765156              150024061739.289          7.49966362488303e-06
245              5359379939328      49451677902.6674      5415332438.34309    261.255794203148              48562222070.0314          1.03927067790673e-05
