#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   228.794884    228.794884    228.794884   228.794884  -nan
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   166.976117    187.517516    194.172483   183.573653  371.689444
-21.666667   163.678349    172.485756    183.046870   173.654894  376.164785
-21.333333   151.815074    160.736976    164.961639   160.672364  147.067293
-21.000000   137.174417    137.973920    138.796065   139.099279  31.670190
-20.666667   122.541740    125.354267    131.261388   126.852171  84.879375
-20.333333   109.138389    112.645862    115.549260   112.565824  25.116391
-20.000000   101.293499    103.267510    106.177893   103.818341  14.466594
-19.666667   91.371399    93.369670    95.456280   96.615212  125.249092
-19.333333   85.358561    88.284653    90.839533   88.172079  15.377570
-19.000000   76.181982    78.478851    83.005790   79.514965  17.563222
-18.666667   72.504989    75.356299    78.296705   76.414351  25.824620
-18.333333   67.674569    70.629170    72.871611   70.502448  18.427118
-18.000000   63.755735    65.848131    70.343473   67.420953  25.248290
