#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.327596    0.410306    0.484331   0.399739  0.014799
9.600000   0.264372    0.359588    0.446312   0.351533  0.016542
9.700000   0.194187    0.298254    0.405719   0.299107  0.018490
9.800000   0.147338    0.258888    0.371890   0.261334  0.019908
9.900000   0.097032    0.189834    0.311475   0.209044  0.017943
10.000000   0.069939    0.163799    0.280091   0.181964  0.016664
10.100000   0.043125    0.118333    0.225035   0.144245  0.013825
10.200000   0.026585    0.076697    0.169102   0.111956  0.011096
10.300000   0.016923    0.057515    0.145877   0.098566  0.010979
10.400000   0.015219    0.053911    0.139026   0.090629  0.009005
10.500000   0.019271    0.074449    0.152915   0.097825  0.008527
10.600000   0.019522    0.053395    0.130767   0.083128  0.006492
10.700000   0.017699    0.056493    0.137868   0.082934  0.006033
10.800000   0.019136    0.059424    0.109532   0.072813  0.003680
10.900000   0.019397    0.038245    0.080701   0.055055  0.002636
11.000000   0.014091    0.033809    0.064940   0.041890  0.001218
11.100000   0.005245    0.014987    0.039944   0.025679  0.000792
11.200000   0.004461    0.007498    0.018983   0.014446  0.000233
11.300000   0.001569    0.004912    0.007023   0.005549  0.000024
11.400000   0.001178    0.001314    0.001450   0.001314  0.000000
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
