#2.nodeMass    #3.spheroidStellarMass    #4.spheroidGasMass    #5.diskStellarMass      #6.diskGasMass
1258362430904.36    37265377313.1901    0.00489955684457243    12041016131.3484      2938771709.60401
1244906367366.27    20562597286.0687    1.32042812667283e-12    41598548803.7826      1260324758.48088
1258420191396.49    38006545866.8298    0.246965350637145    608836754.747975      4536561434.37368
1256624291568.64    11461644923.1517    407.750071726875    0      0
1258747497229.21    23240246006.7083    0.0135046943587906    6686949729.67094      4145006215.81127
1251189708232.39    20933413878.7449    1870.81910650352    2363947430.53109      12817133129.1498
1261112737751.52    33777176191.9727    307454.109757976    14402525020.3634      1624713593.79685
1240841609716.63    38928008216.5911    0.000256364131541819    16175992432.0932      754930947.449351
821406377074.093    7869992477.22811    4.61420562708257e-05    13125659337.5746      2150600111.17318
1253796494513.73    41601246956.572    1034.74274434186    10925442393.7722      5882018176.49579
956108364947.463    36537276929.3871    471739198.296852    0      0
1201138310787.21    34378721384.231    2.67374686696951    3799880091.29176      9086063204.90387
842599382770.935    2712682334.71543    18204.2142052591    1561880139.28944      9502101781.49319
1241049578896.18    42516379759.4602    408.792180386988    84552185.1347561      363167364.285361
1217716174917.46    12244312183.1655    379.169846286386    3276122604.97693      10033149546.34
1233974765590.6    25860558665.6948    126.617341056089    4681251294.25333      5060709628.34678
1219876567179.1    15500450715.822    7.63149419150984e-15    25215763395.8822      163497694.898448
1190720314331.08    16831160153.7348    0.00374334949255905    28840214776.5337      1406064025.73752
1238905986163.44    9365175340.43577    7.97396126257874e-07    16580920209.593      803729105.1063
1234013570918.85    10747653786.3276    0.282471352113787    18384422730.22      285667030.067771
1234608390506.59    5263088179.04287    366.948785945809    6635915850.74339      8882857319.70884
1227923018510.78    20554211067.4229    13040.9186680944    6688619106.14333      7837313646.28575
1195840698981.98    48451428577.2547    5.31648407752498e-13    2798279945.48803      6313455327.69472
1233093778768.72    27285520047.1851    1.54512686930817e-15    28739144774.7505      -9.1166794531544e-33
1225932813408.73    22603964893.4909    3.46942970024401e-13    0      0
1231695999666.87    21906686419.9747    96353429.6894275    18166960.4865693      2551907705.59167
1231106436090.53    27423987796.0897    0.00790541762203337    6825005376.2827      10066963564.398
1225512477859.18    35546425526.7024    21477200.1100841    0      0
1216091349943    29792715.4757022    11028116.9089307    37432847.084934      2472225934.14082
1224972401727.55    20773044832.2165    1.0947442827989e-18    25057632567.503      -1.21321121025514e-30
1219519727755.32    16057771932.3579    2.5319298665407    24131427467.7882      1631145780.077
1214638218814.92    27765004778.0201    2.57062475943525e-13    28458833929.268      1.36852490722764
1218783887158.24    29694542922.1758    9869057.1929593    308862013.696273      4230888446.95814
1219773548442.98    47288706081.7247    12152.9955494247    1413119098.40661      513386449.034306
1205154904249.53    17261986946.1518    1022433.39918603    154145606.115169      5553643024.44561
1213213951616.82    21486602112.072    26252.8582624201    0      0
1223085191082.29    37488333619.2924    5054151.78516524    217260324.034376      4937425222.63986
1211934878417.28    30066353354.8463    533020.47966264    405881320.282415      9754911174.47184
1201398482644.1    26485502194.9279    241.854821458086    5754475546.82893      11583247434.8724
1212001132743.39    19161594523.1797    0.0532322410698747    10433271.2733789      8101152.5071957
1187745197945.9    18775494610.6571    1360808.08798092    6145999253.99797      6082405806.83226
1218305055172.54    22955204896.1112    4.18684480546344e-14    30380654342.7769      13613233.5992218
1171818755690.81    28701637760.0942    20116.8641397752    2877626586.49542      5767156525.13882
1200938054450.06    7471606628.25737    566266.201493    12261894485.0461      3752602731.24885
1209267525551.07    45646305712.1375    6538.87663144203    308884045.360501      5926759926.671
1215239261060.85    25394090897.4733    1.90628374984351e-15    19107526786.3117      -1.14927770399333e-34
1204440974258.68    15932969948.9695    16375.2588133792    2253132253.11778      3008530099.26313
1208706964339.68    51106517107.3669    8.17463006266234e-07    0      0
1208869516555.06    25715767416.7171    66655813.175958    30521113.6128572      2542455565.00992
1199224819461.82    31051051551.626    0.000285959932808056    12438433042.2454      1631782.33068352
1203096751699.36    16534956073.9678    33603739.5893688    1133.06561882909      10987657.5629194
1199543473356.43    27152964286.6381    2291149.71191796    404225984.824202      4370056625.69786
1195411941821.16    23150996959.4016    9.13794381313558e-14    3811264057.32886      13317797282.607
1187361279101.99    20663560518.8084    16812628.7849474    11202213196.1076      4820431938.02914
1173339358565.32    7355162721.96166    62.987368308054    8335321969.38851      8488216972.90976
1182584248455.37    17288573218.2661    3.86470279508653e-10    24360502071.4051      317181284.782033
1129925771490.19    31965088815.1977    1.29471812420726e-09    0      0
1190539704142.4    52226033719.9318    29236.1127452733    702303670.177095      8998147030.49321
1179978333229.26    36313434333.5043    6012.38280007022    1817320550.08677      11396850882.2128
1194224805617.81    15083536480.5329    1.25584984562445e-06    24036227466.2781      10354146030.7698
1202852270258.74    37566406057.6354    714792.824440295    0      0
1195762070348.29    983496730.820747    5.95070187908666e-10    2989226745.04734      18546683313.7625
1185867823761.22    26393549484.4336    106625.202846427    581793647.765916      8886138843.97178
1188028953142.84    12024448457.0047    1.28290715173674    13103898448.0592      6660081934.93014
1181671189880.22    19001082034.0464    1.35632701137943e-12    83017876.3176351      2535037227.60372
1092274833648.58    8467435279.65485    0.677325035197946    13587067423.9895      3304925028.99682
1164082137953.21    32349396460.8359    91661.01064838    1640313691.44495      9216068025.0681
1154856169982.66    29640593006.7009    286008947.054934    0      0
1178179495369.46    23242922331.4285    20.4797280217022    8011837454.74861      4510461050.79725
1161345792316.66    28212007405.1319    8710.80345340771    953230871.984417      10351092767.8536
1175991162926.52    27450850373.7212    85632.4130835285    4543060654.6661      13238572204.8814
1178215544698.23    33532866712.7375    153322253.550664    6058526.71735569      1246853636.33743
1176544581494.88    19493018282.7717    1.36132113088905e-13    11259356984.6062      292373035.843607
1178391479413.04    42302971431.8357    183086247.292334    3260566.19730246      864444370.083032
1153191415228.17    20223355227.6765    2.23224138953047e-19    24546280382.0863      285719798.474258
1128385192769.77    26251722099.9267    4851112.02482325    116406355.38837      4914853608.43454
1157275627976.95    17992118286.6371    3.11739229961353e-14    26012902493.8651      703.89317378995
1178070892636.51    39540931438.5586    20830.7922740923    179371900.567315      3953285545.42398
1169950227194.29    11967024979.231    1.81977312981967e-15    16821666561.9617      3713895752.31221
1153112072115.79    22536293506.603    1.09154631047321e-13    31518620891.7425      0.00672511691084206
1171865313479.16    18038925837.2119    95147.4330979362    364645346.497498      3203256935.38434
1169972979764.53    16015824627.6158    3.89815677690338e-13    3807631879.32067      0.000127841822753168
1158630683100.8    22398100580.0662    1.09026855208076    19808164189.4546      4037175837.77699
1157665226369.88    16811031038.7398    1.15609118776596e-12    31520784686.9698      3935265.56532249
1155729113225.96    18023878388.8904    0.245563015460719    26978199434.7005      229101675.45008
1160510325906.46    57374125462.3112    5235.34310864778    11929238.4227053      130400982.435775
1150606055982.36    16060343081.9595    1.11136944279329    3103336704.83241      4449629082.68138
1101529389944.86    15535096915.7397    23.586967464349    0      0
1156383980246.67    10243431815.8258    0.830677090975095    20459644373.2466      863557217.904356
1155112430648.16    26296051058.0666    183561527.456877    0      0
1142854925160.15    26647311539.5883    16.3014283424676    940965705.190287      169216.732666821
1146501287739.05    31799720987.3835    75754657.0308364    43430713.4675539      2943332328.83909
1149334003433.71    15621651927.7483    1.51070211205077e-13    16721588109.8812      4.71462919511024e-08
1152978110112.44    15550200309.946    4478936.18308961    9261177735.84105      10035820228.9263
1065250131294.57    17031967140.5547    75828465.1796459    235938572.052244      1101894860.60372
1152824838032.73    23931771704.0555    1.34600393825808e-12    28743127915.9785      346284916.105236
1153321575640.51    56599160822.1809    18785924.9202767    41629658.0595608      1185567991.4877
1140282827844    6455965500.61727    9.68509112608903e-11    9495300741.83279      5057270149.44103
1145214727457.97    37199459499.2252    131.149396408756    90707.165653955      87133421.6910186
1141748491549.43    28365352748.1755    1594607.63787177    11649723.675983      656461549.036885
1142800967929.77    37847111080.3602    1757005.08336001    6220115860.07725      9018030844.58587
1140139151180.24    8014984208.68253    24.3287338875891    14106139472.8224      8995855884.01717
1132740290095.22    33588712594.9451    2432.70384649129    6749887383.4794      11914522887.7951
1149320947376.61    26523666400.836    3.31563088176517e-13    39341439581.1259      449909249.848263
1162872017922    0    0    27288925.568222      6211020445.73679
1129215186009.74    34001662380.9755    23790641.1205793    49.074590029623      15619793.9771011
774310019093.441    15962979117.1532    3.03852595373837e-09    5072492166.81275      58843645.0849179
1142663633162.04    18326533072.8176    1.84653091041547    24902702357.0148      1656111418.55282
1139973180462.92    6352049732.68085    1.34024706541347    13858524467.4174      8492532200.2565
1130543745706.07    16583400250.9686    73505.9294682066    74704087.9553409      1741181439.18104
1127582389114.18    25305942466.4203    0.0155150785983565    1470524104.73834      2512127862.2614
1135685463015.5    17986567456.9019    0.00047011852746771    1280737131.05323      246587649.974688
1120396413278.69    17853878495.8109    21539008.9417515    589924.921019922      261426904.039709
1135971941952.14    26614723589.1269    2.14334349254497e-15    29485825092.1768      -9.18990452391594e-34
1126127152486.94    14071461082.6457    3.91135031774605e-13    18539773343.995      354450467.77649
1120722991728.55    13768660054.0821    125.761788465891    9480986434.89266      1315076073.25637
1129358049153.75    45078181604.038    113016108.591421    0      0
1121966251634    4766239479.78028    1.72989314448902    12659953202.2005      7802563612.34864
1108224890455.3    33519662052.1243    1.77222005533977e-17    13676426849.5863      -7.28657136680521e-31
1119161633575.55    15620511529.9433    30938060.5889684    636342.583476601      205375915.371898
