#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.523176    0.698902    0.985845   0.728325  0.055282
-21.533333   0.518443    0.694620    0.989142   0.726554  0.053839
-21.066667   0.490676    0.623706    0.892846   0.675504  0.048113
-20.600000   0.476540    0.560893    0.698238   0.614017  0.034625
-20.133333   0.457987    0.523378    0.622607   0.565262  0.026716
-19.666667   0.451918    0.508096    0.568478   0.525198  0.020389
-19.200000   0.417097    0.500474    0.563431   0.493989  0.017882
-18.733333   0.368635    0.425791    0.534130   0.445732  0.020161
-18.266667   0.339048    0.394711    0.478387   0.405626  0.023952
-17.800000   0.284136    0.377177    0.457425   0.371095  0.033908
-17.333333   0.228458    0.375772    0.475608   0.350894  0.041196
