#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.413277    0.464616    0.507677   0.456959  0.008986
9.600000   0.377549    0.427024    0.479501   0.424175  0.007766
9.700000   0.345797    0.383794    0.437173   0.389077  0.007988
9.800000   0.305848    0.359172    0.402972   0.350663  0.007899
9.900000   0.269975    0.326827    0.398594   0.327363  0.007872
10.000000   0.229309    0.290740    0.340249   0.284099  0.008883
10.100000   0.195235    0.259779    0.306713   0.256281  0.007981
10.200000   0.152947    0.191050    0.245951   0.202848  0.006169
10.300000   0.113836    0.165520    0.247444   0.175679  0.009638
10.400000   0.021618    0.082160    0.156653   0.096986  0.006457
10.500000   0.007741    0.053513    0.098632   0.067642  0.004604
10.600000   0.009642    0.033886    0.081954   0.050184  0.002576
10.700000   0.004707    0.014765    0.037425   0.027534  0.001172
10.800000   0.002715    0.006410    0.019464   0.015892  0.000593
10.900000   0.001836    0.003759    0.012295   0.010067  0.000227
11.000000   0.001497    0.002095    0.004937   0.004988  0.000060
11.100000   0.001623    0.002782    0.006375   0.006358  0.000099
11.200000   0.001538    0.002311    0.003278   0.002567  0.000002
11.300000   0.000000    0.000000    0.000000   0.000000  0.000000
11.400000   0.000000    0.000000    0.000000   0.000000  0.000000
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
