#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   165.482977    168.557517    171.632057   168.557517  75.622373
-21.333333   135.821355    135.980969    142.785122   140.410662  63.210679
-21.000000   122.119868    124.887186    127.654505   124.887186  61.264417
-20.666667   116.994825    120.445624    121.492671   119.834598  9.579202
-20.333333   105.396011    107.286173    111.432149   108.898593  38.856121
-20.000000   97.450669    98.939523    101.640323   99.617161  12.752422
-19.666667   88.242695    90.358622    92.082519   90.742000  11.598820
-19.333333   81.584850    83.166647    85.588028   83.569297  8.148569
-19.000000   74.733125    76.298725    78.129473   76.703578  9.494736
-18.666667   68.762276    70.098078    71.870781   70.684705  14.435146
-18.333333   64.130836    65.544372    67.243366   66.255088  20.308872
-18.000000   60.178935    61.500156    63.137756   62.315228  22.215402
