#2.diskStellarLuminosity:SDSS_g:observed:z0.1000    #4.diskStellarLuminosity:SDSS_r:observed:z0.1000   #6.spheroidStellarLuminosity:SDSS_g:observed:z0.1000    #8.spheroidStellarLuminosity:SDSS_r:observed:z0.1000
22151877.6294925    34691039.8263452   2864857.87031223    5663833.73784479
19891583.7846579    30679620.136895   2659776.59584489    5449948.37272965
114003789.097236    152705706.688078   11340882.3625208    24146559.5500591
81907144.0407529    164139027.991714   30188677.0840437    78811628.0320159
0    0   0    0
4599757.84903697    4670097.68001788   28214030.4913542    57158972.8044092
28425776.2548892    40871237.5028793   3036175.17056485    6317386.22643009
12805564.8266984    18235341.3181323   2572422.99837744    5108707.48722441
52055874.464905    72954658.4690224   19764686.0528751    29575125.9075521
13493454.3657271    14826864.987548   5286648.7635674    10293948.9974913
24823119.6567142    37793397.3120747   2908790.14599358    5873347.87063724
5299866.17059625    7376153.50425944   1118780.04006973    2096716.34740126
1264447.48641196    1484091.31585895   4082241.62821085    7539343.82456958
65634231.1970381    143189452.371267   30918645.2689071    80817022.5721141
80512283.6122842    128598573.198753   18827686.6303527    41332295.8263056
49180158.1909173    88254079.1301312   12336737.7515833    27701715.187724
5415279.47740944    6048935.64544216   16686476.5174762    33262225.7993526
19942466.2653809    31350452.1780848   2255584.58430174    4749228.58663695
119263796.254347    199528023.49798   27736880.1313352    66378649.0055674
7323673.88037807    10212215.5809851   524239.081900923    969887.545149306
7394128.66184988    10745065.8963386   706290.508881    1299615.56581277
31389825.3692567    45607796.3095838   4377007.30497039    8940119.9487018
45172716.0060932    94720241.6345028   21678452.2685092    57381886.7988817
139266119.98817    221698047.097741   33996002.962608    82879753.0362493
33576940.4699555    48706855.5298407   2914469.22214578    5914728.66905882
162596426.908151    247287900.816991   34483678.8864588    84891434.4732597
20914236.4221389    55520172.630314   17643968.415058    44500355.6372425
73677402.4280519    96849971.3181211   13760824.8683689    25100035.3776926
43150924.5374496    66561228.9603724   7156723.95013452    15453242.9604995
77494856.0168052    115611581.814222   39743538.8830792    104443169.908579
6975534.3098324    10503990.0461732   459377.029154027    914051.785315897
19956150.4347569    27188526.3391607   1873058.65454808    3492348.06729757
2231642.77412726    3423404.47597808   208719.466376734    373027.811595529
6466119.53206977    6128053.10701168   0    0
47029446.9546997    68007509.7690745   6394405.2875739    14110118.1409767
9322589.86745351    14562645.7662134   1648594.06225762    3060852.17515898
33808310.7876663    47966030.7662286   2746466.26322017    5777042.17950695
2648723.03877183    2383361.4601565   34289361.2480822    56412007.9640273
6735641.99934449    6077184.38357419   0    0
34217480.2375971    48947440.3060221   4968797.47041771    10148850.6076977
5035031.58105588    7669912.32738214   1028586.25756783    1891642.76709212
10098427.6153179    14454194.9588346   9039660.11310809    18024664.990466
56163820.5364387    125401281.883494   29942530.5750406    74919124.4968295
103101996.340032    185836546.900985   29868950.0542344    76161957.599889
58768625.9072675    77685564.5931854   7823466.71635154    16089033.5570396
41134926.585429    58691747.1987223   2351462.22921655    5012452.34730412
46899537.2658697    69582845.0222602   4225066.96909942    9360155.74462809
18469883.5668248    24590072.1612472   25315768.6395574    54076354.9909491
17004053.9135863    22086465.9915315   1415624.59504489    2954730.81039395
18354404.0509485    25173564.1830956   4996622.90490189    9954924.89793685
38793417.1012237    45219659.9622397   9302948.85059103    18680533.6658386
11346032.4789492    15897797.3356448   2019755.45295957    2976825.59923662
17091524.6419583    22473877.4989705   1868106.83337308    3685057.32222733
49554955.0157809    64880289.6379256   6437425.26764111    14027969.029815
