#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.496216    0.655037    0.877264   0.678376  0.049838
-21.533333   0.486036    0.671772    0.931563   0.697591  0.055330
-21.066667   0.449435    0.588464    0.815549   0.632251  0.051716
-20.600000   0.413612    0.513901    0.668366   0.553072  0.035176
-20.133333   0.399443    0.450661    0.538901   0.486792  0.025461
-19.666667   0.399432    0.452239    0.516949   0.467589  0.014266
-19.200000   0.395203    0.452238    0.513372   0.454917  0.011553
-18.733333   0.398311    0.451064    0.513900   0.459274  0.009083
-18.266667   0.404413    0.436954    0.496611   0.450293  0.008560
-17.800000   0.400882    0.431601    0.471806   0.437422  0.008039
-17.333333   0.394308    0.423106    0.455085   0.419016  0.007307
