#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.444275    0.498549    0.543672   0.482407  0.009981
9.600000   0.390342    0.451370    0.500015   0.435164  0.011889
9.700000   0.338163    0.401142    0.454151   0.384969  0.010915
9.800000   0.290849    0.352098    0.403247   0.340438  0.009712
9.900000   0.230643    0.305715    0.362983   0.291056  0.010265
10.000000   0.188255    0.249897    0.317239   0.249369  0.009395
10.100000   0.109066    0.199103    0.254649   0.190323  0.010686
10.200000   0.076836    0.147364    0.217276   0.153455  0.008925
10.300000   0.019239    0.071043    0.141910   0.090899  0.007120
10.400000   0.009898    0.034189    0.106491   0.065846  0.005113
10.500000   0.006800    0.027673    0.075289   0.051188  0.003637
10.600000   0.003667    0.011175    0.038816   0.031569  0.002234
10.700000   0.003219    0.009331    0.031809   0.024303  0.001131
10.800000   0.003327    0.009087    0.024283   0.019352  0.000730
10.900000   0.002333    0.006036    0.017531   0.013714  0.000331
11.000000   0.002004    0.006465    0.017824   0.012180  0.000197
11.100000   0.001679    0.002975    0.006636   0.005019  0.000028
11.200000   0.001240    0.001359    0.003429   0.002602  0.000005
11.300000   0.002217    0.003073    0.003928   0.003073  0.000006
11.400000   0.000000    0.000000    0.000000   0.000000  0.000000
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
