#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-21.000000   131.250496    133.762921    139.714978   136.056010  75.591143
-20.666667   118.865612    121.250759    124.936215   121.644383  32.667466
-20.333333   108.882802    111.090467    114.817142   111.908206  30.751929
-20.000000   99.464181    101.954624    105.504586   102.379440  16.081777
-19.666667   90.117029    92.587044    94.762552   92.666489  9.914703
-19.333333   82.201422    83.976704    86.422967   84.338636  10.499577
-19.000000   75.619612    76.980252    78.942345   77.382717  7.536227
-18.666667   69.998142    71.620712    73.215990   72.049671  11.368353
-18.333333   65.040185    66.747220    68.067538   67.103369  13.524391
-18.000000   60.807774    62.151693    63.640489   62.927672  19.240878
