#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.649705    0.689954    0.732679   0.680658  0.008567
9.066667   0.629883    0.671627    0.712876   0.663347  0.006834
9.133333   0.599671    0.646000    0.686616   0.634171  0.007954
9.200000   0.577174    0.626844    0.671812   0.613805  0.009103
9.266667   0.556779    0.602627    0.648639   0.593044  0.007511
9.333333   0.527924    0.576769    0.619091   0.564547  0.008983
9.400000   0.496004    0.552882    0.594283   0.534472  0.008506
9.466667   0.471690    0.522752    0.562719   0.510281  0.007495
9.533333   0.434649    0.488383    0.536142   0.478085  0.007343
9.600000   0.402049    0.462403    0.509335   0.451046  0.008948
9.666667   0.370940    0.430496    0.476207   0.416183  0.009085
9.733333   0.333138    0.391777    0.445156   0.383294  0.008477
9.800000   0.298186    0.357591    0.408932   0.349057  0.009549
9.866667   0.274340    0.332692    0.384565   0.324392  0.007630
9.933333   0.230110    0.294102    0.356718   0.289636  0.008225
10.000000   0.195300    0.263528    0.330025   0.262549  0.007793
10.066667   0.173330    0.229296    0.293346   0.233932  0.008686
10.133333   0.132131    0.201584    0.250618   0.200154  0.007871
10.200000   0.117093    0.169473    0.237635   0.181543  0.007605
10.266667   0.099693    0.150993    0.209777   0.160559  0.005300
10.333333   0.085749    0.128142    0.177933   0.145455  0.005636
10.400000   0.076362    0.120777    0.162328   0.130536  0.004030
10.466667   0.077243    0.109231    0.164657   0.126626  0.004031
10.533333   0.062078    0.092540    0.131656   0.108939  0.003405
10.600000   0.065592    0.089296    0.145298   0.109897  0.003384
10.666667   0.067241    0.078817    0.102403   0.093014  0.001639
10.733333   0.056964    0.075936    0.095404   0.083595  0.001089
10.800000   0.058028    0.076387    0.108818   0.084768  0.001128
10.866667   0.057499    0.062898    0.083345   0.069363  0.000284
10.933333   0.068985    0.071465    0.084186   0.078292  0.000266
11.000000   0.050780    0.051438    0.055836   0.055179  0.000071
