#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.386379    0.428074    0.482328   0.449315  0.016517
9.066667   0.350432    0.389373    0.435020   0.407195  0.012252
9.133333   0.322702    0.357217    0.404510   0.373331  0.009222
9.200000   0.290511    0.326594    0.371074   0.339917  0.007357
9.266667   0.261535    0.296677    0.346072   0.313143  0.008245
9.333333   0.233888    0.273167    0.316227   0.285037  0.007483
9.400000   0.207150    0.246851    0.294118   0.258853  0.007659
9.466667   0.181662    0.225832    0.267109   0.233172  0.006746
9.533333   0.167704    0.208700    0.258325   0.217213  0.005920
9.600000   0.144999    0.183706    0.235567   0.192727  0.005223
9.666667   0.125363    0.170144    0.211397   0.172703  0.003829
9.733333   0.111174    0.150573    0.193241   0.156208  0.003976
9.800000   0.094676    0.129745    0.165844   0.135070  0.002997
9.866667   0.081185    0.112238    0.146248   0.119082  0.002754
9.933333   0.078068    0.104361    0.133140   0.108767  0.001835
10.000000   0.069260    0.091161    0.118303   0.098619  0.001600
10.066667   0.063894    0.079365    0.101581   0.087329  0.001022
10.133333   0.061779    0.077030    0.097088   0.083067  0.000749
10.200000   0.060901    0.070312    0.087577   0.080455  0.001674
10.266667   0.058082    0.066757    0.082525   0.074904  0.000574
10.333333   0.054738    0.063692    0.077646   0.068655  0.000339
10.400000   0.056737    0.068530    0.079195   0.071456  0.000374
10.466667   0.057825    0.064517    0.075934   0.071616  0.000404
10.533333   0.052963    0.068928    0.083691   0.069147  0.000268
10.600000   0.054655    0.056883    0.070790   0.066017  0.000397
10.666667   0.060097    0.065268    0.078526   0.068389  0.000126
10.733333   0.000000    0.000000    0.000000   0.000000  0.000000
10.800000   0.087248    0.087248    0.087248   0.087248  -nan
10.866667   0.000000    0.000000    0.000000   0.000000  0.000000
10.933333   0.000000    0.000000    0.000000   0.000000  0.000000
11.000000   0.000000    0.000000    0.000000   0.000000  0.000000
