#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   143.471000    146.264731    149.058462   146.264731  62.439463
-21.333333   123.380364    135.904886    137.018429   129.227340  204.935071
-21.000000   116.422814    123.844433    128.856443   121.127733  120.607122
-20.666667   102.533546    109.433520    115.331618   109.779858  87.660735
-20.333333   91.285855    97.317599    102.641997   97.594600  72.874686
-20.000000   81.024414    85.750925    90.466924   86.058201  49.275255
-19.666667   72.671837    75.928265    80.138290   76.776399  33.038546
-19.333333   65.309724    67.985783    71.352650   68.779411  22.989222
-19.000000   59.289101    61.317835    63.914120   62.250209  20.754611
-18.666667   54.174590    55.907181    58.103923   57.037556  23.919536
-18.333333   50.351516    51.757832    53.815701   53.121427  24.512204
-18.000000   47.637202    49.073168    51.920046   51.014370  33.834270
