#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.370151    0.437320    0.495868   0.426565  0.012344
9.600000   0.303504    0.379730    0.449193   0.372118  0.012237
9.700000   0.236422    0.318335    0.397735   0.314054  0.013982
9.800000   0.174162    0.263228    0.348856   0.260479  0.013927
9.900000   0.125379    0.207820    0.295888   0.212890  0.012414
10.000000   0.083363    0.159026    0.240798   0.167767  0.010965
10.100000   0.054009    0.108499    0.182421   0.124474  0.007708
10.200000   0.033422    0.065722    0.123685   0.086133  0.004930
10.300000   0.015670    0.036358    0.082057   0.058908  0.004001
10.400000   0.010230    0.025347    0.056413   0.043315  0.002456
10.500000   0.007169    0.021554    0.062139   0.042496  0.002565
10.600000   0.005589    0.017535    0.045238   0.034110  0.001881
10.700000   0.008625    0.021452    0.046268   0.033094  0.001197
10.800000   0.005854    0.018984    0.041256   0.028475  0.000999
10.900000   0.004230    0.010797    0.028293   0.019818  0.000431
11.000000   0.003908    0.013010    0.028397   0.017966  0.000351
11.100000   0.002513    0.004767    0.008561   0.006977  0.000038
11.200000   0.001808    0.003192    0.006841   0.005040  0.000023
11.300000   0.001570    0.001858    0.003083   0.002954  0.000006
11.400000   0.001433    0.001511    0.001589   0.001511  0.000000
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
