#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.632076    0.926631    0.995053   0.810097  0.049590
-21.533333   0.627991    0.911471    0.999102   0.814233  0.045860
-21.066667   0.580640    0.841885    0.990046   0.779432  0.051383
-20.600000   0.508560    0.639503    0.883898   0.682125  0.043831
-20.133333   0.496408    0.605961    0.785901   0.648856  0.036727
-19.666667   0.489507    0.559655    0.704083   0.606708  0.029694
-19.200000   0.484068    0.553252    0.637622   0.566384  0.021324
-18.733333   0.440739    0.542079    0.631446   0.542126  0.020405
-18.266667   0.410263    0.512595    0.644069   0.515901  0.026814
-17.800000   0.354577    0.475292    0.630260   0.468764  0.041081
-17.333333   0.215354    0.429668    0.587481   0.404780  0.053941
