#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-21.000000   127.145763    127.145763    127.145763   127.145763  -nan
-20.666667   111.275873    112.222729    119.247722   116.274820  75.864949
-20.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-20.000000   98.052509    101.599386    104.171676   100.481183  20.231670
-19.666667   89.532683    93.911896    99.619470   94.851915  41.284992
-19.333333   86.348279    90.126910    92.929806   90.032342  31.774195
-19.000000   79.571663    83.032094    86.809882   84.053682  38.670374
-18.666667   74.430319    79.120503    85.522907   80.475712  65.223611
-18.333333   68.959946    73.843713    80.467767   75.352140  56.410709
-18.000000   66.642535    69.467889    77.084802   71.683539  53.620067
