#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.640934    0.697047    0.738682   0.680505  0.015012
9.066667   0.603018    0.665269    0.711491   0.644164  0.014649
9.133333   0.585968    0.642499    0.682616   0.628803  0.011828
9.200000   0.558890    0.607390    0.646659   0.595574  0.009988
9.266667   0.515155    0.570880    0.611635   0.555507  0.010262
9.333333   0.488377    0.536491    0.584311   0.528372  0.009409
9.400000   0.447979    0.500666    0.550512   0.493458  0.008758
9.466667   0.408946    0.462606    0.517530   0.457379  0.008760
9.533333   0.360208    0.427846    0.490083   0.423469  0.010278
9.600000   0.320388    0.390498    0.456252   0.387109  0.009663
9.666667   0.273372    0.347981    0.423795   0.348787  0.011190
9.733333   0.230475    0.314016    0.392838   0.312744  0.012221
9.800000   0.192918    0.278702    0.357344   0.276608  0.011942
9.866667   0.162487    0.245065    0.335233   0.249809  0.011793
9.933333   0.138041    0.209557    0.292360   0.218944  0.009742
10.000000   0.119261    0.185166    0.262325   0.195877  0.009178
10.066667   0.104210    0.161319    0.229184   0.172089  0.007253
10.133333   0.086225    0.129929    0.193764   0.147503  0.005876
10.200000   0.072457    0.109660    0.154520   0.125226  0.004487
10.266667   0.070263    0.100141    0.146777   0.117790  0.003740
10.333333   0.066933    0.096143    0.148944   0.116934  0.004559
10.400000   0.061367    0.085458    0.136715   0.106345  0.003054
10.466667   0.068463    0.087255    0.121278   0.102744  0.002790
10.533333   0.068724    0.094472    0.131198   0.104394  0.001939
10.600000   0.060991    0.080560    0.111945   0.095671  0.002331
10.666667   0.061819    0.082681    0.104066   0.096952  0.002229
10.733333   0.061962    0.076141    0.091726   0.082640  0.000744
10.800000   0.063792    0.079228    0.101688   0.087426  0.001216
10.866667   0.057700    0.067467    0.079916   0.069729  0.000262
10.933333   0.056930    0.067269    0.076714   0.069533  0.000244
11.000000   0.056889    0.058743    0.088974   0.077661  0.001298
