0 0.1 9
0.1 0.2 41
0.2 0.3 338
0.3 0.4 3577
0.4 0.5 7661
0.5 0.6 13568
0.6 0.7 1530
0.7 0.8 333
0.8 0.9 287
0.9 1 227
1 1.1 176
1.1 1.2 151
1.2 1.3 148
1.3 1.4 132
1.4 1.5 112
1.5 1.6 107
1.6 1.7 106
1.7 1.8 77
1.8 1.9 93
1.9 2 58
2 2.1 55
2.1 2.2 52
2.2 2.3 19
2.3 2.4 12
2.4 2.5 6
2.5 2.6 0
2.6 2.7 1
2.7 2.8 0
2.8 2.9 0
2.9 3 0
3 3.1 0
3.1 3.2 0
3.2 3.3 0
3.3 3.4 0
3.4 3.5 0
3.5 3.6 0
3.6 3.7 0
3.7 3.8 0
3.8 3.9 0
3.9 4 0
4 4.1 0
4.1 4.2 0
4.2 4.3 0
4.3 4.4 0
4.4 4.5 0
4.5 4.6 0
4.6 4.7 0
4.7 4.8 0
4.8 4.9 0
4.9 5 0
