#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.632076    0.930924    0.995329   0.810637  0.049714
-21.533333   0.627365    0.909694    0.998220   0.812643  0.045915
-21.066667   0.580640    0.841885    0.990095   0.779319  0.051424
-20.600000   0.508558    0.639391    0.880553   0.681914  0.043764
-20.133333   0.496619    0.606294    0.786212   0.649114  0.036706
-19.666667   0.489447    0.559356    0.704572   0.606767  0.029682
-19.200000   0.484251    0.553310    0.638073   0.566561  0.021314
-18.733333   0.440634    0.541897    0.631422   0.541901  0.020423
-18.266667   0.410263    0.512595    0.644069   0.515809  0.026831
-17.800000   0.354370    0.474879    0.630474   0.468481  0.041195
-17.333333   0.216610    0.430738    0.588331   0.405809  0.053919
