#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.520660    0.731956    0.994984   0.733436  0.059200
-21.533333   0.526895    0.738060    0.998586   0.747639  0.057566
-21.066667   0.519440    0.705140    0.984596   0.729398  0.054522
-20.600000   0.502009    0.605808    0.789390   0.656387  0.042387
-20.133333   0.485870    0.577949    0.721480   0.621679  0.034950
-19.666667   0.467634    0.545871    0.650052   0.576370  0.027616
-19.200000   0.423366    0.508077    0.597301   0.522696  0.018687
-18.733333   0.405828    0.464136    0.568058   0.493398  0.017632
-18.266667   0.380527    0.430110    0.513745   0.452753  0.018031
-17.800000   0.338273    0.412390    0.493669   0.418222  0.020097
-17.333333   0.259637    0.377434    0.477307   0.371534  0.028023
