#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-21.000000   124.111967    124.111967    124.111967   124.111967  -nan
-20.666667   123.042642    123.599354    123.689238   123.134240  0.817119
-20.333333   108.265759    110.181093    113.067952   110.972041  13.101414
-20.000000   100.748466    102.854003    105.283907   103.085896  18.110750
-19.666667   92.551132    95.020614    97.481119   95.445151  20.695935
-19.333333   82.766444    84.950845    87.705395   85.818471  16.916882
-19.000000   76.729556    78.774926    81.539696   79.779154  22.858935
-18.666667   71.088314    72.976916    75.955632   74.659112  33.430804
-18.333333   65.860301    67.838138    70.477923   69.783049  38.118139
-18.000000   60.986987    62.898569    65.823058   65.130916  47.013521
