#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.586719    0.881671    0.994716   0.790854  0.050568
-21.533333   0.598630    0.862873    0.998881   0.794121  0.048457
-21.066667   0.569884    0.791662    0.986205   0.763863  0.051387
-20.600000   0.504103    0.626040    0.831012   0.668903  0.041892
-20.133333   0.493900    0.598250    0.771729   0.642376  0.036034
-19.666667   0.487186    0.558774    0.704056   0.605679  0.030303
-19.200000   0.481282    0.549374    0.632108   0.563098  0.020853
-18.733333   0.437789    0.537817    0.628130   0.539070  0.020798
-18.266667   0.406044    0.509227    0.640772   0.513259  0.026660
-17.800000   0.352430    0.473440    0.633870   0.468973  0.041793
-17.333333   0.222304    0.423100    0.580365   0.401667  0.052400
