#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.379574    0.454073    0.516109   0.438614  0.012919
9.600000   0.334566    0.415546    0.481836   0.399882  0.013897
9.700000   0.280604    0.371227    0.435548   0.352761  0.014046
9.800000   0.214324    0.299985    0.383105   0.290798  0.014433
9.900000   0.166024    0.258049    0.331495   0.247654  0.012852
10.000000   0.116189    0.188193    0.264707   0.192266  0.010345
10.100000   0.068431    0.134671    0.207297   0.145121  0.009070
10.200000   0.038739    0.085372    0.150214   0.105448  0.007155
10.300000   0.016286    0.045647    0.110398   0.073271  0.005565
10.400000   0.009080    0.025722    0.066530   0.047958  0.003035
10.500000   0.006910    0.018810    0.055146   0.041021  0.002650
10.600000   0.004839    0.016322    0.047184   0.035601  0.002350
10.700000   0.005582    0.016957    0.036375   0.030730  0.001475
10.800000   0.004031    0.015874    0.037862   0.025756  0.000811
10.900000   0.004929    0.011201    0.025134   0.017610  0.000287
11.000000   0.002845    0.009641    0.020388   0.016003  0.000382
11.100000   0.003140    0.005332    0.009078   0.007820  0.000064
11.200000   0.001357    0.002367    0.004186   0.003846  0.000016
11.300000   0.001079    0.001113    0.002444   0.001692  0.000001
11.400000   0.001717    0.002390    0.003062   0.002390  0.000004
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
