#2.diskStellarLuminosity:SDSS_g:observed:z0.1000    #4.diskStellarLuminosity:SDSS_r:observed:z0.1000   #6.spheroidStellarLuminosity:SDSS_g:observed:z0.1000    #8.spheroidStellarLuminosity:SDSS_r:observed:z0.1000
98603051.8442899    141146499.941173   38841341.9937681    87433384.1496636
31830444.9048094    86202405.257891   31774691.478379    83156201.3417913
110877183.867099    156393586.107461   57355038.9263364    136813412.751624
36854215.2452814    47389644.7050121   40689996.4408835    91633126.658495
100672406.08109    149718924.210495   31370365.8823551    72965847.6063968
32066346.8483297    41346576.6236331   38226079.2033647    83988889.3817998
35054563.4514038    90835853.0222498   53137258.1021088    131560755.549484
53097753.0438835    70233014.996622   47075116.0153111    120802893.557686
32375575.3332025    65476316.4453766   24443315.6809301    59226018.5458165
43183218.7679467    110808076.48603   34615600.5059088    84634040.0355679
5506943.30214659    5325234.8627953   93675395.3825849    196910885.260089
130880275.346814    169657899.912313   53188293.3927741    124617368.590628
28790719.487768    27462095.6542445   24351283.9826646    47223577.3035382
2476128.33059473    3424805.11081357   65408514.4505778    160842899.667387
91180882.8115295    127685040.991366   23979874.6463811    54144799.6960153
16628830.6109183    38200381.1554126   47012701.1167517    109501368.928336
27532327.6358489    69333634.1682874   20660098.9416198    52616722.8126625
156777834.634232    233214560.496851   28000520.8262705    70507984.4590043
20156579.9558094    49659402.2978893   15279428.5009725    36006898.9741948
20457712.2649752    51499429.9073463   20476757.5825875    48646167.4891686
34476187.3426036    61174491.7508675   8543091.89019723    18837528.8901287
125637860.900168    176871567.050942   20862467.8214076    45622357.2378485
102570359.491541    164401951.332403   73507605.3263091    184109749.116972
35650261.2436626    81920102.2491233   26741055.0519361    66137017.5897093
12903095.9514589    31968142.203548   14525214.8975174    33804418.0694733
45088685.765054    56800022.27762   6366327.44340883    13877524.6174237
22728272.1211398    57828948.5840289   29957624.7080789    74007941.6308184
687723.600492712    672164.065060098   59926050.8728087    134460167.900389
0    0   0    0
21412999.6489921    55277542.3447037   22137786.493911    54125463.1301891
48103213.9549684    103039085.841293   27824976.0158975    66671006.0376306
56451379.1746667    125525002.245298   30446100.0239378    70540411.8253192
79635832.7077829    83845909.5201539   79882948.0212616    176917457.693022
41746571.306922    108551797.681361   38038953.9329823    95563268.4363356
6058253.13408284    6100495.69520451   25794766.1230605    55088830.3733831
116855877.289903    171428648.531425   17355319.2048744    38075115.6491093
41465981.2642448    40701048.6010004   98099696.5305491    210248211.22422
26888783.4670777    25519482.4226241   60750266.5477919    127689335.712726
127064993.624124    173902076.279405   31131725.7783113    68975311.4744507
92606338.1179216    127939923.648675   27679631.6736249    63516043.8179452
152508717.570534    209271878.993841   29444547.968767    69022751.9309183
51341055.1279436    117438624.212908   26965184.8659002    68242910.2675835
24501499.4779035    63913132.7855826   23769096.9169829    57696093.0242319
70016432.0834915    99822378.4210413   11987572.8867352    24618197.9725357
53368883.221944    108178427.4846   29805508.9046212    73981103.9478253
25706.6560701124    56035.7693061648   27574469.8489609    65491732.1926684
32210488.1271552    79769763.3464901   25083456.7311248    58913717.636211
985086.918813949    1801412.12300346   68561225.4392646    174642796.218849
87693693.4437699    117350462.10519   11004161.4855477    23401197.5242034
39708560.8265428    79993731.790284   33307002.4644505    78326784.8496685
2011779.05905795    2368870.94442866   25100519.9637063    52070078.4985389
60502867.4988813    72411860.9510851   44737687.1109431    109120536.240128
21091977.1908265    30990514.2531267   36019784.6142489    91400057.8675101
43808785.4390177    110749829.838846   34351684.1594566    81544799.3662082
49024773.7154828    63390734.0700382   25123981.4867131    31696516.6484801
20741401.9214217    54677075.3193915   21068412.3193289    51875783.3119897
20808543.0172563    50685734.3013583   13188249.8762893    30486478.7079388
208522230.955505    311591306.740424   29475933.4267552    73787874.5574457
99603860.0945315    126909956.700666   49142870.0291393    113565680.285914
20119747.9653041    51829804.4349592   19842294.4906895    47199496.4538725
28949992.9234869    25625024.3391653   101012811.785833    193006970.747825
44378714.3338776    51633615.7294414   788664.528154242    1606725.18777306
43519251.3137561    99953980.9469009   26662600.6245524    59833291.9807307
36150422.4804138    90733578.1387829   31363575.5489253    77178376.0361225
22091468.0021864    54346323.7052043   14500465.0241248    34834999.1522513
105211999.02749    160618676.098301   18965471.2208321    45314297.0425547
86248942.5936893    114892980.812263   53991371.4803217    128705569.297182
39484081.001656    89204637.9150012   30392632.9913127    67275291.2109236
67820606.5349104    108168347.723489   34032359.1830204    84149005.0095125
82587461.139909    150611152.619443   27279691.8097879    63876356.5515168
22402982.1400918    54375618.8524729   39365439.383314    94949723.7990621
18453511.9678785    45258288.8250761   10948044.7204409    26260930.3655685
52129035.5204971    70671335.0511806   28870367.1156377    66779002.4597108
312035253.421603    409998838.825194   44125643.0702411    94151265.3952715
103477547.491082    151605121.672935   19043133.2391012    48989400.9752017
52527699.0693554    94140975.3446129   15284820.2173246    34265740.6549526
30081602.5660731    78950067.0948036   27967910.7762638    70929561.0481169
34250225.6490274    47714513.19532   57784834.5543635    140667551.208144
67253722.4729333    105697667.76131   14908114.9311843    35862193.6508103
30628050.0766664    83244535.6756439   28119629.1910583    73414278.2076104
35908268.4943663    61137304.2797471   10774082.5446597    23670981.2717491
132121183.487537    193520601.142377   26356477.7450846    61801871.6212809
136372740.479784    187034407.356741   29930276.6591763    53887479.4845994
38151585.927023    93181815.0990665   29937809.0925259    77339003.4793766
33701052.7469253    85316948.7424769   21176130.1123579    54489846.7365501
184458571.20628    256040160.941597   38224182.7712056    94581453.3594056
37831215.6071996    89762842.1534185   23488703.2427349    55209490.464976
19924776.61732    26502120.5482361   11242832.8098653    24384599.7319461
38473489.8079187    96636667.3194308   25619779.5170338    64495549.3543915
24264273.7808408    28448988.3177621   61939979.5052161    134182788.536625
148397776.571334    231188044.969039   34760710.767818    81553544.4951798
99763405.8239348    133701778.120452   23139359.8780654    56285722.7233586
19322766.8418531    49805091.5071173   17769900.8908711    43077689.2168816
78675010.1179167    117469300.134521   10112362.6461974    23240782.5465913
7539228.30132179    16207841.3525293   7718385.6801302    16175670.6237584
71351375.5627355    133871461.341439   28142207.1708432    64874832.4410866
118415875.698757    155093761.006006   36668534.7083703    93468209.4010496
16017098.6610603    36678973.9731253   8489220.13663869    19129101.5844285
29764774.4593045    75906573.6531228   26950125.3412192    64697000.5625516
7661695.54176945    13470003.3060868   56684496.7968629    136534144.300406
31259217.7465886    68254710.3090444   49849033.4466932    125887781.605893
14807834.0978977    36472201.4585754   15257482.5068916    35090895.997062
132116749.150773    184851990.65125   48811966.8491628    122871785.248348
34832098.2478026    92699492.0276204   28119688.8032343    72176980.781016
0    0   0    0
44.4206332379428    74.5850324270516   71382339.1307378    178464386.018018
21632860.687638    53444504.7342796   18647834.3810312    43277353.9842297
85368117.74094    146591656.120456   29814774.2879069    72683791.0064697
126525672.013292    176578033.890994   27561817.1395664    52134006.2949181
54585298.4895921    79757259.7157833   24466774.8530712    53230758.8699182
83635973.4650264    141012464.785031   22477587.0802131    53908858.7423373
57577169.4531778    79181987.188981   19603517.5503428    43962185.6844622
10826017.7138063    11592004.8043709   31735170.6918209    66219413.0479675
30659227.5696389    81958669.4870442   27922134.3802194    70656006.1760261
49989474.9917359    96157186.7504235   18312675.3244137    45789922.1943529
40069403.9263418    75116366.8937227   32262067.8911048    78147104.5559902
2874347.05087272    3595622.19596383   34707590.3219807    78551525.3690554
38831171.4103424    62019109.8827645   6282743.81158437    13788420.2605544
27767471.5862923    73230496.0326625   25713937.9577768    63901954.8530149
170298.771945563    132961.380243327   87127585.932219    132246982.263176
20708943.8141314    53542513.7600355   18198754.5645036    44371818.9821923
42143264.8580873    61454798.5086453   65351303.9904907    154370193.997045
27812692.9833347    74533804.8691283   23596880.0016835    61149620.7163418
27890417.6568312    73121018.2426802   22079852.1563537    56232192.1282859
38292418.4316954    92993728.2013998   32308496.0706759    78371673.060067
11896760.9243451    31630179.5473429   22517202.5383858    54955941.7318936
16246108.468082    43318886.1940292   15279452.4882763    37839461.2179355
0.117514025349551    0.230420261423173   43855035.2634205    103063331.582966
64145783.7387411    140141211.598821   35331738.2724283    85274220.9594184
72998555.5547976    106663195.407315   41774452.0427958    110234800.531467
64825274.7854562    121650065.070637   19401886.9147554    48643617.6663229
140357557.147814    202965681.826344   25286971.7635305    57309180.7674651
51895736.1424306    65555565.241668   7621703.97039718    16146984.3925972
7691121.51573346    7129275.12741973   0    0
36673606.9441752    90551463.2492637   20921793.8828352    52714199.7150487
15309083.2846802    35865067.0622107   14032575.171445    31054723.96562
162169380.707843    221921974.180631   31113483.8485221    58999541.7658705
89293406.7911042    113167008.332248   58759536.5355841    135992090.311952
8977504.82535008    8308037.17580539   0    0
85941877.1350322    148738735.59447   30222665.5831086    74866057.4733866
59349924.312875    79803535.045642   28721591.7601144    65988755.1252379
74862778.662141    99981360.745486   40249695.9593805    92491048.6489941
20693070.4447544    55544816.0760082   18890375.441099    49495806.9812092
85985423.5902731    134717889.42822   39022670.2447955    100447409.452604
196961923.913329    283755971.956098   39323579.6690154    97134922.5520677
193216010.851879    280764068.43363   34814256.6264034    78754348.0354539
2760642.25938668    3187596.58602127   13618470.2517686    30386404.2506735
4177664.08411007    5487095.68118326   74493881.7361124    187506454.151632
148322100.748425    204311768.456924   17863026.0779119    40311413.5134587
44695204.4850284    75109915.4290838   24244301.1273889    52762637.6300358
180842384.976262    229130888.322274   59047012.4335286    143328183.641286
67581707.5118866    96153409.4412492   20720008.5321718    33501203.1543339
67102487.6166019    77600008.3343343   46845757.3071391    110540607.574698
73332622.3657974    112776135.655343   14454772.497669    32252565.8625578
26784976.438724    69662451.0043507   25511221.4063776    62880418.3449794
63700410.9376587    89712756.1610426   8156289.87977705    17520726.4699551
22545778.0919927    27986203.45993   29409401.5348095    65018287.512633
214210497.713634    321681390.73148   36167012.6527096    88066355.1708848
146872665.174701    203800495.62225   33299158.2273697    79505943.7327108
13081409.7222272    18824847.5567547   29494205.1594126    66390650.2694977
134552703.772287    159372970.730663   44256089.6682068    102212171.07981
139279271.778537    228727167.461985   29141547.2353998    71843056.8663752
35044684.1817175    45551116.615281   3595395.76460354    7693206.43706846
7371817.2559798    16042694.5333628   25172922.2102587    58974236.5180434
23606472.8548244    64239406.3351286   21356241.7130157    55965159.2549509
193128500.498563    259828762.020689   39346699.7457344    78617153.4677201
38138594.022344    100171688.108005   28721299.1085619    74124468.2357734
71602547.6246138    142101735.903656   30324288.6988398    73875728.3718468
31625521.1320173    84434703.1125875   27462476.5390009    71118262.7726617
46885436.7886687    87347353.4151157   12907845.7955913    29625396.1037447
3613142.80154085    3528176.11818031   52560842.7841037    108656145.964121
104707315.117364    151946482.492558   17296947.2759353    40021230.1319832
88593434.079246    168797284.884138   30059714.5527383    70347308.9982237
40069924.8989179    69783705.2354544   10241941.3015834    22675406.976777
20939324.5948868    55271662.933097   23169280.6859807    57078732.6641458
47147860.2224607    89771736.2741092   14419343.013299    36807161.0462169
22297274.0426485    25505984.5325174   15559245.6855338    33480691.8492608
67904755.1707719    83282547.72883   31878227.4762712    71464462.4691675
272066746.426991    350255468.645559   41828561.3697948    88651969.9865661
113118447.867935    168528321.564523   26737881.6371081    63897214.3425156
99020185.671938    124447767.067266   48930071.7057264    105648365.094998
145709071.338934    212225300.521992   33685832.0313134    81371982.9596158
137854745.670039    209426315.693948   23313179.819085    59110111.8410974
30576862.1978992    31364337.9601167   31808142.9206361    68582661.5628504
42472127.0198231    72248798.5487707   7333478.64295552    17074889.8700669
181643642.333007    272392122.863909   34810889.190039    83135458.5165164
162609814.191576    243979643.124449   30616138.1767735    71536637.5996185
43254082.9533905    109230036.163786   27854465.902911    70575239.5224489
311887726.29021    377597237.598771   49169499.601505    90996009.5494372
10888755.6394736    26266683.2463275   20004976.983844    46284398.5613423
10145549.2909536    22865030.4577867   24453225.3932615    54088732.7115176
100037926.897029    132710805.928125   44173602.0161804    104780144.499155
43839332.6995049    109104200.84922   28692136.1878294    70855471.2926006
80675140.5441441    120011690.357011   12551215.4687099    28004856.8541092
104811310.799911    117606399.264313   28230066.8603687    61656228.4979426
29573621.9859374    74116216.4085753   23661703.2222152    56982281.1866265
177616858.406468    242752982.441166   26576949.6039945    63536864.0266816
26882363.7606253    38884276.2946474   32781799.4883262    72473772.0182619
28629744.1247864    74763048.3044604   20923640.8336969    53321902.1971014
19051813.1078532    45281219.9707441   18617690.8468655    41700449.0347964
12203758.6183351    27873841.8222997   11848011.9679207    26492400.2535126
21647948.6458382    59025415.7975691   20063280.9905385    52308026.1492106
58176594.6391018    82060015.1613404   27030623.8931891    63717881.4208026
100481636.500643    143567975.592102   23197946.9956375    59747643.1491165
30404273.4186841    74303895.337055   20428500.578166    47859245.3390205
1253509.70619135    1516715.15234604   19313404.7444207    41192506.222514
51181794.3895108    90441692.588945   15431627.4910756    38023714.0407772
117301267.212286    158026360.288242   19406415.5243378    43314481.6048148
26009666.6516056    65412997.4524848   20651691.2252046    48760556.3154014
133986508.324287    188691185.708978   43559128.6175319    107674598.981535
78999075.4508033    108847403.18505   72245435.5299403    169753037.736838
133864068.05128    207749486.988785   30066980.3649542    68978454.5508234
80129869.9320411    95794001.9233243   44948475.9511281    109884658.055563
112886489.451657    161599551.04381   20648626.2930555    40301398.5735632
98884830.6867163    155420567.06281   20512706.1240413    49134139.7416214
192482806.04793    250368596.474467   18695064.8606113    42491132.4455701
90925456.4352956    164923117.147558   27113656.7925125    65933748.2704068
59388443.74125    71075353.0152003   26847203.3788775    61387079.4259771
32796951.8108833    48470314.9547902   3563683.54276268    7764125.81954281
15946514.4868608    21203335.3945434   15207985.7376585    33236367.0190423
63233332.7575143    93980921.2345868   30439132.0000335    70762984.3225755
33442476.208485    37404168.0403547   60107687.0190221    152661989.14253
230396874.370335    292149488.569112   39016731.148495    76847553.0400032
28054139.9367305    26014122.2514019   45370218.6056724    91143933.4598009
70157798.9442905    106441134.794198   14625564.9724969    32139619.8041379
34497589.2295777    85928737.9603662   21496136.4117514    53455341.5155979
111860744.334714    147946745.303345   13952037.1003559    34189720.1065307
52401160.8219659    56578152.6496945   89150547.6897631    199442757.631777
4873249.52984592    4528951.45956726   65099883.8353339    129639694.440727
115461331.802269    174471647.964536   22780993.6591348    55112586.3851627
24885770.7306711    30717931.6998529   53135281.3396118    115526253.128026
6790676.36380185    6977320.95931225   41989190.4622479    88160590.0351751
35992276.0525677    50403316.4264331   65843053.5679526    148256496.791252
13496119.3014905    35333468.6994009   13368272.5395353    32582166.026758
19706110.9955429    50561576.3603503   19946980.6077176    48759679.031233
22354030.0081655    26174951.4753604   51797911.2669405    114292891.733262
24527392.3042696    44072224.7027045   8694814.68246095    20098232.3405365
90764097.2000112    115817940.942265   36942440.2321025    83949864.2083324
174459675.394804    227528559.640493   25894555.5154438    53834711.9225156
99886896.5476211    153357978.399515   29586382.649179    70107272.8723239
24165803.8371206    39543651.0595159   10052525.0719237    21296128.8336877
100475509.722512    135474282.117071   21280104.7089861    38777945.1272969
27448675.7335808    48050809.5039226   22298679.2228149    49477816.2307338
122828268.008114    206340916.475545   28772675.0739553    67103852.6670128
134355685.544314    201381276.328798   27578537.895346    62477781.7567185
13206135.3238984    19370738.232182   3435370.86786812    6913492.34452814
74580691.329338    148664092.857839   24780629.1696085    63811179.5806074
113197394.255882    159265580.470557   22977772.3470691    41416658.7655118
40119377.3011802    42750670.9706766   22622772.5821048    49282699.7586386
138068581.895524    178539142.52441   27770126.3287944    51914192.9161161
133778520.100263    215235626.718495   32317904.1044037    80878847.633419
20064944.6943654    33004184.222454   8342257.88203345    18297910.8395792
22424247.6126873    24862435.6449151   62899522.8653449    151358928.959342
122922933.810915    172938315.310027   18478058.3971766    39650872.2244029
67899.0522163707    71504.7696371962   0    0
9442436.33495992    25822283.5998195   10553395.6735877    26724952.9906278
20736856.4922373    25842917.0625428   1744115.66163532    3658404.06594985
28833907.7625362    76680276.5731667   24173173.8962475    62796497.5369644
42814717.6207639    60532339.3096613   12330466.8430511    27652604.8954792
44578364.640863    51862931.9747115   20415977.4754465    44511779.5369861
11860931.3131437    24875811.1453782   53729557.5452571    131304522.782347
70426736.2095211    119898130.671232   18177008.3734716    44277358.3210658
54772.1898336496    48601.5441004584   64355961.9933093    103504329.425088
156739545.882932    224913008.745606   30964257.3692099    66522808.7649626
0    0   0    0
46701457.0731176    61427224.6142917   21903854.0431726    50913432.6246551
31210861.6977168    59937763.837032   13114158.391251    28673767.0657196
63350124.5705631    98277820.5748109   13414314.3981442    29804064.2253235
145299037.373476    186263468.732699   28487017.0961838    52987977.1579965
39519219.354518    81418166.897087   14448392.6824578    32492820.4487002
47965329.0141106    76908851.9725789   6935920.15566915    14995388.7901353
66447484.6965293    71037193.8549893   88730023.4852373    200257176.585671
108158469.653693    137786101.979658   82285306.9512486    203398339.356178
104193548.657076    156908752.501232   33025647.3891068    77962622.8467027
25493975.7146766    35379311.208769   42992315.8401455    102731537.479268
79551745.9893406    132765765.717108   17747701.953321    41039059.8421593
5193114.80254086    9182087.26884764   12922740.7435635    28398056.1785409
95046259.6013238    139009797.200154   19845349.4724218    41406826.3520548
19710027.0165325    51471150.8664679   13995461.7968108    34945372.6973211
9692112.69290639    11832776.4764337   33555894.5159491    72913557.0095339
54167979.3938817    88521012.9871361   9458335.55729764    20530977.0524594
103982571.994533    154735733.636886   15645754.6373518    34874367.9586043
162660379.629696    209745215.389419   21929895.0576096    49887988.4327836
21465654.7704806    38576231.8219596   4413620.86827873    9575105.99767607
46783073.4233157    61588349.9960062   35694227.6617832    91011001.0708636
109379344.004485    195289061.060909   28612804.0605274    71339001.3827953
27228416.5946215    41812554.5478727   22606787.5947542    53353502.1701462
69537908.5836183    120447802.07165   33421800.3430064    82199740.1482083
23884857.3562125    60525868.5311993   33205517.1699039    81192723.6814532
48964287.0435739    78560067.2393994   9776121.23712495    21509618.2669449
48727727.9779915    79554773.0696809   10102088.8778575    21837734.0288488
8771081.11746638    10651766.2325041   1817308.74616657    3904490.97376946
58910231.918687    90234047.574688   19450318.171177    43604821.6567119
27591667.0975862    32422946.984173   36744270.2370233    79041510.7274851
20852085.2163122    35490611.9650076   13686472.1294479    30546729.1830784
16586303.5959277    24402380.8569876   59780176.485749    151567909.648413
27937350.8267402    71645903.0686195   20548543.1026018    50359942.3160494
41345020.5703125    70910876.1696137   9332374.08985089    20849788.9924637
18148173.5841441    44705337.0638711   16206165.4408479    37966377.7886536
3390569.33909194    3129401.02952161   78100832.9893501    151755028.198512
80588347.2729263    111152002.017426   8612000.72480264    19087520.3990667
90248817.0774172    131122232.479911   40275783.3738466    98986915.614128
93785270.5761885    131176541.074939   26000831.8336619    39971625.3894462
112783171.73269    173253678.281042   25166288.9944228    60957459.2962092
55600485.9536222    83089629.3635134   9024501.79941211    20214387.8673805
8286662.3997636    13931783.5278112   34638741.3841332    78897464.7585771
64022167.3128384    109684124.628509   15310974.0881429    34325920.2559379
2380.87492791339    3234.89332356516   0    0
75485300.0007659    101394990.073472   42319749.7475247    107020962.913312
29046033.6457655    74848059.988377   18586571.0042982    46980051.184009
20730499.805237    55550168.9373597   19654577.1206786    50127354.4264155
