#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.515323    0.673727    0.900848   0.698128  0.045833
-21.533333   0.486345    0.611875    0.803742   0.657812  0.042036
-21.066667   0.462245    0.552106    0.693549   0.597104  0.031509
-20.600000   0.450912    0.517128    0.623821   0.557210  0.023862
-20.133333   0.440441    0.496447    0.556873   0.516852  0.018554
-19.666667   0.417149    0.484117    0.539526   0.482581  0.016370
-19.200000   0.367443    0.436771    0.518173   0.439880  0.017358
-18.733333   0.341270    0.389991    0.449051   0.395433  0.019105
-18.266667   0.337154    0.371258    0.416049   0.379132  0.017164
-17.800000   0.296498    0.365731    0.419955   0.356513  0.028719
-17.333333   0.240919    0.360618    0.445067   0.347434  0.040190
