#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.quartil4
1.100000e+01   -1.916023    -1.688855    -1.547284   -1.013957
1.104000e+01   -1.877669    -1.664634    -1.529667   -0.922703
1.108000e+01   -1.852517    -1.659451    -1.508728   -0.932119
1.112000e+01   -1.826350    -1.624857    -1.476146   -0.924733
1.116000e+01   -1.764973    -1.598241    -1.463832   -0.956643
1.120000e+01   -1.775281    -1.593681    -1.450247   -0.903338
1.124000e+01   -1.747199    -1.566143    -1.408440   -0.914866
1.128000e+01   -1.709703    -1.538314    -1.376743   -0.903681
1.132000e+01   -1.697449    -1.523051    -1.369426   -0.829586
1.136000e+01   -1.686147    -1.510256    -1.350881   -0.941144
1.140000e+01   -1.689055    -1.510328    -1.355993   -0.966434
1.144000e+01   -1.660858    -1.473525    -1.311823   -0.960389
1.148000e+01   -1.721863    -1.519206    -1.333528   -0.960417
1.152000e+01   -1.715295    -1.539753    -1.347856   -0.944959
1.156000e+01   -1.705738    -1.521918    -1.353565   -1.041639
1.160000e+01   -1.736222    -1.574761    -1.384419   -0.932039
1.164000e+01   -1.732071    -1.575469    -1.406533   -1.053166
1.168000e+01   -1.719278    -1.574632    -1.380896   -0.993278
1.172000e+01   -1.745917    -1.566786    -1.384471   -1.093922
1.176000e+01   -1.734307    -1.557336    -1.385558   -1.078333
1.180000e+01   -1.728090    -1.563402    -1.414209   -0.932278
1.184000e+01   -1.738404    -1.583428    -1.406896   -1.083556
1.188000e+01   -1.745908    -1.568201    -1.412882   -1.122476
1.192000e+01   -1.720179    -1.554072    -1.417173   -1.161168
1.196000e+01   -1.736717    -1.559846    -1.424173   -1.088134
1.200000e+01   -1.727425    -1.582379    -1.440433   -1.095815
1.204000e+01   -1.692233    -1.537482    -1.411475   -1.214681
1.208000e+01   -1.718882    -1.541024    -1.424236   -1.225128
1.212000e+01   -1.727170    -1.528676    -1.430597   -1.263340
1.216000e+01   -1.641815    -1.512554    -1.394882   -1.203345
1.220000e+01   -1.670878    -1.541512    -1.429163   -1.168479
1.224000e+01   -1.630420    -1.533625    -1.417381   -1.248188
1.228000e+01   -1.686483    -1.558052    -1.433699   -1.231645
1.232000e+01   -1.646819    -1.525696    -1.433979   -1.231930
1.236000e+01   -1.657394    -1.552851    -1.475742   -1.144782
1.240000e+01   -1.621630    -1.515239    -1.425378   -1.210440
1.244000e+01   -1.602260    -1.513541    -1.433344   -1.290637
1.248000e+01   -1.620683    -1.546020    -1.473618   -1.166465
1.252000e+01   -1.654335    -1.545866    -1.464558   -1.351251
1.256000e+01   -1.673083    -1.575385    -1.511093   -1.302887
1.260000e+01   -1.657927    -1.514159    -1.478841   -1.330399
1.264000e+01   -1.727814    -1.587129    -1.519018   -1.370864
1.268000e+01   -1.714584    -1.583010    -1.537607   -1.406723
1.272000e+01   -1.682276    -1.609837    -1.538555   -1.376059
1.276000e+01   -1.709036    -1.613078    -1.559503   -1.372443
1.280000e+01   -1.719395    -1.628953    -1.567377   -1.440071
1.284000e+01   -1.752741    -1.669222    -1.620070   -1.451928
1.288000e+01   -1.794563    -1.708306    -1.652985   -1.454300
