#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.663958    0.724563    0.760732   0.700561  0.013044
9.066667   0.642341    0.695237    0.730891   0.677891  0.012917
9.133333   0.610206    0.668010    0.703688   0.645690  0.010600
9.200000   0.587184    0.633692    0.674527   0.616906  0.010831
9.266667   0.558280    0.605435    0.642557   0.589605  0.009154
9.333333   0.526277    0.576180    0.612023   0.562538  0.008106
9.400000   0.494943    0.541270    0.581715   0.528297  0.008191
9.466667   0.455262    0.510839    0.556711   0.499291  0.009248
9.533333   0.418080    0.473701    0.525182   0.465727  0.008052
9.600000   0.376932    0.441680    0.498798   0.434420  0.008826
9.666667   0.344356    0.414081    0.475004   0.405057  0.010563
9.733333   0.302205    0.383309    0.450241   0.373126  0.010770
9.800000   0.271728    0.349796    0.420659   0.343998  0.011133
9.866667   0.234428    0.312827    0.385719   0.308798  0.011037
9.933333   0.205492    0.284343    0.356781   0.278181  0.010545
10.000000   0.174198    0.248854    0.324439   0.249880  0.010298
10.066667   0.139875    0.205919    0.278467   0.212209  0.008809
10.133333   0.117473    0.173606    0.232992   0.183299  0.006812
10.200000   0.096562    0.146959    0.209715   0.162839  0.006653
10.266667   0.082960    0.122010    0.185340   0.144309  0.006472
10.333333   0.079638    0.119162    0.176036   0.136275  0.004997
10.400000   0.067389    0.110961    0.167461   0.127533  0.004484
10.466667   0.076961    0.107984    0.158043   0.127412  0.004767
10.533333   0.072489    0.093459    0.125342   0.107659  0.002893
10.600000   0.073222    0.100036    0.120623   0.106183  0.002208
10.666667   0.063006    0.095233    0.129393   0.103951  0.002335
10.733333   0.067661    0.083883    0.120727   0.094113  0.001201
10.800000   0.065139    0.089029    0.114848   0.094712  0.001237
10.866667   0.057987    0.071684    0.081447   0.077017  0.000558
10.933333   0.062264    0.070617    0.096742   0.078534  0.000537
11.000000   0.057806    0.064275    0.077662   0.068753  0.000231
