#2.diskStellarLuminosity:SDSS_g:observed:z0.1000    #4.diskStellarLuminosity:SDSS_r:observed:z0.1000   #6.spheroidStellarLuminosity:SDSS_g:observed:z0.1000    #8.spheroidStellarLuminosity:SDSS_r:observed:z0.1000
61688531.7118728    84100685.8276547   61088383.5383383    143986115.821673
31197347.5365005    81678931.6826935   29087798.3444722    72970406.9905027
25387601.973747    27439367.7177574   83354422.3649428    188447375.270835
0    0   27111607.5471615    61448882.6148106
30135065.0905068    56865246.6625133   30889799.5121617    71290046.6240845
30362840.5923854    42980173.1053046   41268983.4948747    91913664.4301043
28420665.4362506    59188216.2928433   58040448.9130221    139970394.376597
33860997.4350583    59391282.0122624   59068713.4943131    147966254.753559
26835855.2374969    54136496.1816232   21410760.9978935    50963600.504161
33528377.9511443    84087499.0872221   41586935.2321159    99432576.7513451
2247263.64326898    2078792.62408223   105759901.168672    219244455.2996
113464523.301273    142150508.207402   55264814.7477826    129780586.047234
41925581.9012026    43955374.612532   26520713.902361    53171320.1816196
257.541834181435    320.93849289508   71140649.5359174    170432377.518456
24491574.178717    40015798.4505653   20531766.9818559    46106969.3268525
40635455.841459    60589686.0858567   40505866.2384233    93551784.1711973
39583581.0196359    85446968.4127328   18629317.4900658    45316255.3791482
151059843.909482    218169288.247096   23840343.7314437    56470159.5007224
15063033.2078757    36075438.981621   16143921.6697003    37375692.1316559
30389762.9106746    55302205.806362   37370050.8638541    85256822.394818
11381226.9019095    23494037.2551719   11148636.349422    24787033.2493876
66931191.3425743    105280457.466243   13330189.0154415    29772335.2696474
102318845.032901    146317340.384485   68453395.8058153    167182973.866271
36303422.2377109    90775216.13938   24687847.6112463    59036604.6592014
15696607.5823962    37383597.995182   13467662.8889152    30480872.3339376
6218501.89544987    14165801.0641498   10721384.8154787    23453578.8584539
43045384.0595483    72440280.0159464   34241342.1731261    82536558.8770242
0    0   94056642.5004169    179756904.377794
0    0   0    0
179183710.001198    252741650.505415   34942052.1352941    79088584.6247864
29743299.6525096    75573588.1867394   28972944.3530771    68515675.7392821
37813929.9043219    41981178.6847456   70948039.0114826    167810589.381051
22516420.0287234    25113170.7077669   88050625.933863    195216894.555661
5718459.11651484    9655463.21874878   63974402.4868952    157234892.046164
438773.437451678    395513.152774073   36446690.8239377    77761191.3119781
12066813.1277133    27555645.6012459   23702040.3293136    53371605.7759685
7854928.0219627    6945843.70929345   123296234.14488    238561455.396017
13299499.4098157    12895382.0820995   69810040.6215174    148300679.249085
10754730.9973638    18244995.6823477   26011123.9988343    58640633.9473183
2008953.08199507    1883027.43028004   29732174.1064242    68060849.9958505
97014576.7750892    129571906.617011   30513584.9334105    70855890.4701961
65311437.3378027    130797362.373666   22670264.7409161    56026941.6278824
22486493.9079377    39121632.7303267   46264751.5083779    109994607.530858
52774319.3579119    80283289.210959   6315961.15976077    14446645.8075831
48313002.2562521    100071505.634757   27392464.1831055    66027788.7802537
0    0   39826698.7036255    96768211.7184481
20477630.6062285    48162682.9681223   23653218.2355337    53229790.2081216
20210.4169056872    26879.0815123603   64029161.1185363    151219554.170814
103798063.04109    150387475.795509   10906265.4746064    24275755.8297769
13032806.1274356    29008252.7869571   41418377.7663831    98078656.2274033
179.321319407505    193.639402004226   40653883.4085343    81536451.2087887
30061061.9645271    33890124.0814148   42144588.692162    100092248.129845
21133607.6471073    30839339.7413122   32845452.5919845    82135801.9231722
0    0   86095659.9468238    195432718.835917
3342026.52852686    5795632.3559138   10483775.570067    23814912.0364078
27830310.2272934    70688023.7916224   20502196.9118923    49055444.3248143
21233045.2444095    37577889.6635097   14896661.8829248    33872315.3256698
68706819.794632    74242534.3889192   94709423.0815916    223246270.520285
20551136.6665767    25448350.2675577   54939469.1185718    127693524.483168
213145675.162403    313730306.289681   36013916.4686483    83134675.0346216
1520203.32889246    1335076.8345406   79705208.7713315    156903043.514078
50610807.1948302    58871333.8178318   1923347.28400735    3783839.85029615
0    0   55847335.4119317    127848447.227483
129493803.967833    179420767.363347   23120992.8181409    53611367.0798412
8369564.50396512    21174280.1965991   12364906.9210526    29161689.94299
66452441.2027418    109750805.602668   14164632.8915184    32836934.2963517
58316434.5321979    71206565.1316323   49087478.2388499    112910227.789674
0    0   48573658.399028    108866758.821711
59962966.487794    85807729.9611965   30995751.4693055    74153900.3996913
26851338.1866824    35406979.5210231   59383518.0151828    142088783.410393
39393408.1578308    61933006.1264627   56835331.3810423    136341946.683734
12927432.6674837    31879559.3317046   11480595.8348526    26683090.0217684
1562019.25519799    1825371.61697327   26396739.4025575    60347480.1324108
158218918.302655    209317089.281138   34586018.8179817    80836197.2790114
85642507.9260927    133500654.179858   19264505.3664113    48492997.0569523
1231105.31428134    1257605.1956688   71798365.096904    155137156.43532
28320943.0981093    72204721.1945907   25694945.597913    62250770.5309022
36764165.0404855    43263693.750469   52348059.6598494    123168270.595612
43013388.1771535    70832934.4583738   11716823.7498647    27047333.5789416
24033001.4454936    63700583.0724911   25967503.3398555    64879322.1705893
0    0   30343047.5440324    68317261.5176064
49141277.840244    84759036.9394126   12416186.6682552    29364774.0522751
119216439.670593    174762785.51538   18654365.6532557    42831508.3010835
27770648.3065982    73489494.8554208   24362325.166135    60709879.0318935
59077084.5535721    112153042.897361   16056295.3293036    39422620.915536
