#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.646512    0.877021    0.978410   0.802720  0.039634
-21.533333   0.628577    0.834790    0.975324   0.783934  0.042636
-21.066667   0.591729    0.754029    0.956938   0.753580  0.041355
-20.600000   0.527490    0.641076    0.818710   0.673481  0.036163
-20.133333   0.507949    0.598718    0.740150   0.633077  0.028104
-19.666667   0.510199    0.575840    0.694778   0.607421  0.022108
-19.200000   0.493592    0.568158    0.647201   0.575761  0.018298
-18.733333   0.439876    0.535555    0.636739   0.542406  0.018987
-18.266667   0.417801    0.509212    0.629691   0.517301  0.023311
-17.800000   0.369701    0.478014    0.618034   0.473666  0.035078
-17.333333   0.230969    0.423848    0.561826   0.400414  0.047515
