#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   167.454629    167.454629    167.454629   167.454629  -nan
-21.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-21.000000   128.618268    128.618268    128.618268   128.618268  -nan
-20.666667   116.161191    121.634706    126.424117   122.870904  77.352773
-20.333333   112.575541    113.995497    114.693294   113.684677  22.569814
-20.000000   100.743182    102.915178    105.020830   103.212049  18.435438
-19.666667   94.640002    98.187892    100.579197   98.084270  28.790369
-19.333333   86.021781    87.845940    91.556857   88.877374  15.317870
-19.000000   78.790987    80.944817    84.821024   82.265612  33.583338
-18.666667   71.018228    74.790260    80.518318   77.255485  69.401410
-18.333333   67.564786    69.978703    79.613102   73.934807  68.670512
-18.000000   63.209803    68.055522    74.761406   69.751631  65.309353
