#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.422081    0.479963    0.531786   0.466773  0.011818
9.600000   0.364732    0.432254    0.490822   0.418276  0.012176
9.700000   0.304483    0.387454    0.456775   0.371728  0.014534
9.800000   0.250432    0.334789    0.411814   0.322318  0.014617
9.900000   0.197124    0.283378    0.359864   0.272070  0.014016
10.000000   0.140365    0.224016    0.302497   0.221878  0.012857
10.100000   0.097323    0.165051    0.235305   0.169931  0.010057
10.200000   0.059629    0.113939    0.186914   0.130958  0.008289
10.300000   0.033041    0.075663    0.141080   0.096580  0.006631
10.400000   0.022367    0.052357    0.115336   0.077013  0.005294
10.500000   0.015606    0.045001    0.092007   0.063990  0.003897
10.600000   0.012972    0.037890    0.082512   0.054990  0.002790
10.700000   0.012278    0.038704    0.078847   0.052808  0.002456
10.800000   0.010010    0.025421    0.058613   0.038830  0.001499
10.900000   0.007233    0.019615    0.048360   0.031090  0.000962
11.000000   0.003833    0.010438    0.028472   0.019677  0.000446
11.100000   0.002605    0.005624    0.012823   0.010184  0.000102
11.200000   0.002608    0.003686    0.007490   0.006263  0.000031
11.300000   0.001329    0.002078    0.004118   0.003414  0.000010
11.400000   0.001118    0.001147    0.001175   0.001147  0.000000
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
