0 0.06 14
0.06 0.12 40
0.12 0.18 130
0.18 0.24 213
0.24 0.3 421
0.3 0.36 928
0.36 0.42 1250
0.42 0.48 1622
0.48 0.54 3555
0.54 0.6 9313
0.6 0.66 9721
0.66 0.72 209
0.72 0.78 116
0.78 0.84 119
0.84 0.9 85
0.9 0.96 106
0.96 1.02 77
1.02 1.08 93
1.08 1.14 83
1.14 1.2 86
1.2 1.26 69
1.26 1.32 78
1.32 1.38 59
1.38 1.44 48
1.44 1.5 40
1.5 1.56 50
1.56 1.62 49
1.62 1.68 49
1.68 1.74 44
1.74 1.8 47
1.8 1.86 41
1.86 1.92 43
1.92 1.98 34
1.98 2.04 23
2.04 2.1 19
2.1 2.16 21
2.16 2.22 18
2.22 2.28 13
2.28 2.34 5
2.34 2.4 8
2.4 2.46 5
2.46 2.52 4
2.52 2.58 2
2.58 2.64 1
2.64 2.7 0
2.7 2.76 0
2.76 2.82 0
2.82 2.88 0
2.88 2.94 0
2.94 3 0
