#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.481123    0.634210    0.965947   0.687608  0.057925
-21.533333   0.487329    0.671377    0.981037   0.705430  0.058285
-21.066667   0.513687    0.663903    0.960508   0.703083  0.052597
-20.600000   0.483362    0.589504    0.743599   0.629329  0.040699
-20.133333   0.450791    0.534062    0.660645   0.575343  0.030479
-19.666667   0.424408    0.483931    0.586623   0.519003  0.020900
-19.200000   0.411530    0.463017    0.536451   0.482574  0.012536
-18.733333   0.401058    0.443266    0.504690   0.459115  0.011536
-18.266667   0.369792    0.425593    0.489454   0.431966  0.012536
-17.800000   0.333764    0.394896    0.455695   0.400077  0.011909
-17.333333   0.307796    0.354962    0.425392   0.371155  0.011808
