#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   170.812306    177.068972    183.325639   177.068972  313.166971
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   116.176688    134.787860    136.317392   129.014116  217.908590
-21.000000   108.091673    121.631110    129.523484   119.304951  181.559507
-20.666667   109.272402    113.284080    120.242197   114.705715  80.308324
-20.333333   96.283720    101.661156    107.262096   102.393083  65.119996
-20.000000   85.472369    90.384900    95.193082   90.783134  50.802545
-19.666667   77.051133    80.439907    84.471300   81.169986  33.915278
-19.333333   69.977445    72.468304    75.904757   73.250922  21.689518
-19.000000   63.480481    65.580343    68.102809   66.236127  17.729143
-18.666667   57.865106    59.643673    61.742055   60.372499  16.158465
-18.333333   53.789831    55.228942    57.216804   56.448246  22.267418
-18.000000   50.813005    52.211024    54.897481   54.187195  35.764865
