#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.533300    0.705930    0.982851   0.733037  0.052284
-21.533333   0.507500    0.658599    0.942790   0.701724  0.049164
-21.066667   0.478543    0.590874    0.777494   0.643001  0.041910
-20.600000   0.465392    0.542633    0.663764   0.586284  0.028884
-20.133333   0.449938    0.508214    0.583901   0.539020  0.020889
-19.666667   0.443455    0.501577    0.555035   0.509426  0.018262
-19.200000   0.393848    0.480164    0.549142   0.475049  0.017503
-18.733333   0.355998    0.405936    0.503591   0.426463  0.019605
-18.266667   0.335074    0.378867    0.438971   0.389283  0.021502
-17.800000   0.285776    0.372353    0.440641   0.364188  0.032457
-17.333333   0.240765    0.374032    0.466925   0.355323  0.040508
