#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.501047    0.545563    0.599131   0.550936  0.015954
9.066667   0.460991    0.506474    0.555327   0.516307  0.012203
9.133333   0.428337    0.468062    0.516855   0.475886  0.011294
9.200000   0.392705    0.433665    0.481737   0.439794  0.008466
9.266667   0.356572    0.396843    0.449655   0.409208  0.008989
9.333333   0.317187    0.363029    0.412780   0.369635  0.008692
9.400000   0.279757    0.328790    0.385283   0.338436  0.009421
9.466667   0.247421    0.296393    0.352336   0.300109  0.007416
9.533333   0.210607    0.266787    0.329388   0.275860  0.008416
9.600000   0.183357    0.239547    0.302035   0.244727  0.007297
9.666667   0.162664    0.213124    0.276051   0.222490  0.007314
9.733333   0.140213    0.196279    0.253568   0.201659  0.006746
9.800000   0.117147    0.169446    0.227217   0.177357  0.006229
9.866667   0.104839    0.148686    0.198723   0.156005  0.004424
9.933333   0.087128    0.130110    0.179102   0.137621  0.003662
10.000000   0.079539    0.116585    0.155020   0.123632  0.002986
10.066667   0.078456    0.104895    0.139788   0.114856  0.002215
10.133333   0.070054    0.092713    0.121117   0.100691  0.001703
10.200000   0.062467    0.083359    0.110782   0.094142  0.002202
10.266667   0.060954    0.076604    0.096781   0.084152  0.000947
10.333333   0.057557    0.072973    0.093934   0.081951  0.001021
10.400000   0.058755    0.074808    0.093436   0.080479  0.000681
10.466667   0.059409    0.077182    0.092764   0.078507  0.000547
10.533333   0.059927    0.063523    0.078260   0.073924  0.000622
10.600000   0.059030    0.067464    0.072245   0.066902  0.000119
10.666667   0.058494    0.066732    0.072874   0.072625  0.000604
10.733333   0.058961    0.064844    0.078623   0.071259  0.000281
10.800000   0.056330    0.059335    0.088372   0.076690  0.001253
10.866667   0.000000    0.000000    0.000000   0.000000  0.000000
10.933333   0.000000    0.000000    0.000000   0.000000  0.000000
11.000000   0.000000    0.000000    0.000000   0.000000  0.000000
