#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.369092    0.436693    0.494676   0.425451  0.012513
9.600000   0.300242    0.374817    0.445992   0.368715  0.012510
9.700000   0.231261    0.317025    0.397433   0.311968  0.014241
9.800000   0.171382    0.258783    0.349353   0.259309  0.013968
9.900000   0.123785    0.204816    0.293620   0.210633  0.012436
10.000000   0.079229    0.151529    0.240425   0.164115  0.011094
10.100000   0.053269    0.107956    0.180357   0.123641  0.007613
10.200000   0.032232    0.065948    0.122544   0.084630  0.004926
10.300000   0.014946    0.035499    0.081883   0.057877  0.003834
10.400000   0.010192    0.024236    0.056952   0.043825  0.002541
10.500000   0.008092    0.022702    0.058082   0.042139  0.002485
10.600000   0.006122    0.020401    0.045093   0.035537  0.001926
10.700000   0.007040    0.019870    0.042787   0.031842  0.001238
10.800000   0.005552    0.015842    0.034210   0.025940  0.000933
10.900000   0.004834    0.015309    0.026739   0.020288  0.000448
11.000000   0.003323    0.010280    0.025342   0.016914  0.000390
11.100000   0.003390    0.005996    0.011501   0.008146  0.000046
11.200000   0.001949    0.003158    0.006800   0.005908  0.000044
11.300000   0.001462    0.001983    0.002768   0.002840  0.000006
11.400000   0.001601    0.001864    0.002336   0.002072  0.000001
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
