0 0.06 1
0.06 0.12 6
0.12 0.18 18
0.18 0.24 64
0.24 0.3 284
0.3 0.36 1514
0.36 0.42 2766
0.42 0.48 3544
0.48 0.54 5723
0.54 0.6 10654
0.6 0.66 2253
0.66 0.72 213
0.72 0.78 166
0.78 0.84 153
0.84 0.9 146
0.9 0.96 122
0.96 1.02 107
1.02 1.08 102
1.08 1.14 99
1.14 1.2 91
1.2 1.26 91
1.26 1.32 91
1.32 1.38 71
1.38 1.44 59
1.44 1.5 81
1.5 1.56 58
1.56 1.62 57
1.62 1.68 57
1.68 1.74 59
1.74 1.8 44
1.8 1.86 43
1.86 1.92 62
1.92 1.98 49
1.98 2.04 48
2.04 2.1 30
2.1 2.16 36
2.16 2.22 24
2.22 2.28 13
2.28 2.34 13
2.34 2.4 9
2.4 2.46 4
2.46 2.52 7
2.52 2.58 2
2.58 2.64 0
2.64 2.7 0
2.7 2.76 0
2.76 2.82 0
2.82 2.88 0
2.88 2.94 0
2.94 3 0
