#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   184.303907    184.303907    184.303907   184.303907  -nan
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   123.322860    126.768700    137.591386   128.495072  176.718725
-21.000000   116.413496    124.198473    132.282685   122.105760  164.571164
-20.666667   106.244905    111.731336    118.360641   112.208187  89.495909
-20.333333   93.016083    98.321572    104.919474   99.353159  69.969974
-20.000000   82.425014    86.507480    91.872265   87.442036  48.112510
-19.666667   74.445289    77.840413    82.100347   78.501824  32.311741
-19.333333   67.063875    69.543733    73.027119   70.483287  23.644281
-19.000000   60.815519    62.904322    65.409878   63.631129  18.237846
-18.666667   55.585531    57.247041    59.406596   58.270411  20.290898
-18.333333   51.589478    53.073698    54.995127   54.329963  25.614936
-18.000000   48.854695    50.210066    52.979114   52.142236  34.911503
