#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.436166    0.481676    0.532627   0.495382  0.015987
9.066667   0.397250    0.440821    0.487684   0.453683  0.012613
9.133333   0.367184    0.405339    0.452431   0.416103  0.010199
9.200000   0.334246    0.372878    0.414698   0.383605  0.008702
9.266667   0.298464    0.338651    0.390638   0.351343  0.008126
9.333333   0.267201    0.308955    0.355908   0.320869  0.008517
9.400000   0.239268    0.285179    0.334057   0.296180  0.008406
9.466667   0.207301    0.254511    0.305733   0.263893  0.007742
9.533333   0.187545    0.235966    0.286876   0.241158  0.006393
9.600000   0.160454    0.209584    0.261473   0.214297  0.006034
9.666667   0.140745    0.188786    0.244635   0.195795  0.005664
9.733333   0.121046    0.167859    0.217304   0.174622  0.005198
9.800000   0.106404    0.150560    0.198706   0.157139  0.004573
9.866667   0.091287    0.128890    0.167252   0.132889  0.002961
9.933333   0.082009    0.113267    0.149221   0.119102  0.002477
10.000000   0.074399    0.100143    0.134039   0.107979  0.002013
10.066667   0.069654    0.090223    0.113609   0.097972  0.001618
10.133333   0.067804    0.083233    0.109811   0.090840  0.001011
10.200000   0.059528    0.076383    0.095261   0.084140  0.001787
10.266667   0.059032    0.068209    0.087772   0.077454  0.000706
10.333333   0.060753    0.073688    0.090716   0.079811  0.000706
10.400000   0.061514    0.071592    0.087174   0.075293  0.000324
10.466667   0.054893    0.060921    0.076987   0.068475  0.000353
10.533333   0.055586    0.065280    0.086848   0.073263  0.000501
10.600000   0.055781    0.061594    0.071200   0.069432  0.000483
10.666667   0.056747    0.060739    0.066990   0.063516  0.000116
10.733333   0.051046    0.054673    0.063234   0.059607  0.000174
10.800000   0.061720    0.069713    0.077706   0.069713  0.000511
10.866667   0.000000    0.000000    0.000000   0.000000  0.000000
10.933333   0.000000    0.000000    0.000000   0.000000  0.000000
11.000000   0.000000    0.000000    0.000000   0.000000  0.000000
