#vel.    #gas mass  #star mass
104      7.951      10.004
236      9.638      11.108
193      9.054      10.736
184      9.996      10.896
268      8.778      10.784
195      9.162      11.344
126      9.669      9.896
176      9.629      10.24
111      8.275      9.788
227      9.449      11.02
155      7.863      10.324
129      8.132      10.384
152      8.737      10.5
127      8.813      9.912
191      9.376      10.672
111      7.376      9.94
140      9.045      10.304
183      9.252      10.548
154      8.702      9.756
135      7.243      10.42
99      9.041      9.92
187      9.800      10.54
184      9.760      10.628
94      8.132      10.204
193      9.023      10.628
148      8.525      9.96
289      9.779      11.284
149      9.833      10.604
106      9.190      9.84
187      10.026      11.02
90      10.067      9.788
125      9.865      9.948
250      10.018      11.108
187      7.172      11.112
116      9.563      10.128
139      9.957      10.568
374      8.648      11.248
159      8.967      10.424
216      9.992      10.912
76      7.959      10.188
85      8.825      9.984
114      9.790      9.996
151      9.892      10.192
151      9.293      10.128
197      9.649      10.916
190      9.720      10.688
132      9.235      9.876
210      10.152      10.816
176      9.491      10.544
168      8.840      10.392
148      9.764      10.188
161      9.300      10.576
119      9.068      9.804
182      9.627      10.712
129      9.603      9.932
180      9.911      10.884
124      9.422      9.98
190      9.269      10.476
134      9.284      10.148
127      7.985      10.228
151      9.874      10.156
187      7.843      10.58
159      9.400      10.56
164      9.645      10.232
101      9.529      9.876
118      9.723      9.848
182      9.454      10.5
241      10.274      11.004
107      9.273      9.876
131      9.325      9.812
179      9.647      10.604
290      8.792      11.288
58      8.463      9.812
75      9.609      10.648
184      9.616      10.768
117      9.784      10.072
147      9.637      10.268
230      9.793      11.028
185      9.503      10.568
137      9.392      10.04
113      9.444      10.212
276      9.829      11.236
183      9.718      10.676
171      9.460      10.544
118      9.006      9.928
174      10.229      10.688
254      9.855      10.776
206      9.490      10.736
167      9.484      10.496
126      8.850      9.828
181      9.760      10.528
108      8.851      9.932
188      9.296      10.52
229      9.672      11.048
119      9.051      9.768
149      9.499      10.52
169      8.929      10.356
170      9.821      10.484
199      8.904      10.2
134      9.264      10.384
200      9.158      10.808
206      9.591      10.924
268      10.136      11.044
131      9.067      10.164
152      10.169      10.356
116      9.102      9.732
182      8.800      10.468
215      9.670      10.732
92      8.859      9.9
191      8.481      10.608
182      9.636      10.544
124      9.085      10.164
144      9.833      10.084
136      9.224      9.888
126      9.065      10.156
157      9.494      10.18
171      9.853      10.356
154      9.746      10.22
142      9.509      10.052
216      9.515      10.988
222      9.471      10.784
202      9.435      10.528
150      9.503      10.332
166      9.683      10.372
118      9.211      10.172
138      9.601      10.152
243      10.283      11.052
128      9.724      9.936
237      9.647      10.944
197      9.830      10.628
137      9.758      10.06
318      9.675      11.184
112      9.861      10.152
196      9.639      10.684
164      9.402      10.248
154      9.296      10.384
114      9.506      10.012
206      9.722      10.584
165      9.094      10.26
197      9.844      10.848
148      9.387      10.228
135      9.233      9.82
134      9.222      9.972
213      10.052      10.816
194      8.993      10.512
91      9.446      10.008
145      9.550      10.288
80      8.688      10.48
107      8.951      9.928
176      9.682      10.528
141      8.863      10.116
158      10.265      10.472
220      9.447      10.8
213      10.387      11.068
167      10.024      10.46
233      9.732      10.78
254      9.665      11.012
211      9.441      10.684
162      8.366      10.176
234      9.674      10.936
181      8.748      10.288
123      9.661      10.332
178      10.127      10.432
107      9.516      10.08
131      9.381      10.004
121      9.313      9.772
224      8.730      10.484
288      9.739      11.084
123      9.408      9.756
112      8.809      9.728
120      9.700      10.028
159      9.560      10.044
160      9.414      10.328
121      9.368      9.94
211      9.547      10.644
115      9.162      10.196
179      9.835      10.312
144      9.587      10.176
217      9.898      11.024
183      9.572      10.488
128      9.350      9.96
198      9.720      10.78
117      8.975      10.076
128      9.305      9.76
104      9.113      10.244
204      9.906      10.816
203      9.949      11.012
133      9.117      9.852
169      9.609      10.404
174      9.501      10.44
149      9.655      10.572
153      10.018      10.472
159      9.520      10.22
142      9.584      10.376
145      9.248      10.444
205      9.733      10.708
159      10.196      10.52
143      9.330      10.58
141      9.967      10.192
143      9.648      10.58
195      9.353      10.652
141      9.483      10.076
39      9.577      10.904
111      9.298      9.772
129      9.498      10.184
256      10.230      11.18
122      9.980      10.388
127      9.578      9.932
184      10.077      10.508
140      9.911      9.924
99      9.363      9.984
151      10.210      10.732
181      9.158      10.512
193      9.750      10.588
145      9.275      9.928
262      10.130      11.188
188      9.080      10.684
139      9.564      10.016
146      8.981      10.164
181      9.603      10.672
141      9.398      10.176
159      9.491      10.384
180      9.853      10.36
195      9.483      10.444
138      8.967      10.468
105      8.921      9.86
124      9.044      10.084
138      9.434      10.212
174      9.298      10.392
115      9.810      9.74
159      9.518      10.468
259      9.735      11.232
158      9.569      10.648
165      8.796      10.408
126      9.440      9.868
179      9.761      10.452
126      9.043      9.86
288      8.498      10.924
180      9.567      10.664
179      9.173      10.44
153      9.730      10.56
116      9.369      10.06
138      9.860      10.268
132      8.883      9.808
155      9.810      10.256
221      10.040      11.028
175      9.947      10.408
146      9.620      10.424
49      8.858      10.324
73      9.354      9.88
167      9.547      10.28
275      10.245      10.896
155      9.947      10.616
123      9.759      10.316
116      9.472      10.1
