#i-band           #i-bandErrror     #velocity         #velocityError
-22.75		  0.19		    212.2	      5.02
-20.51		  0.14		    99.18	      2.55
-21.54		  0.1		    232		      6.74
-19.51		  0.12		    90.78	      7.8
-21.23		  0.14		    161.2	      2.03











