#1.treeId       #2.nodeMass      #3.diskStellarMass     #4.diskGasMass        #5.diskCircularVelocity     #6.spheroidStellarMass      #7.spheroidGasMass
200              7219020038144      29949520471.6836      235396.542442979    445.54058082704              202563161337.959          0.105378228132311
201              7201899413504      0      0    0              0          0
202              7074719727616      46618240875.1879      11704932512.2223    170.069647802494              18423912988.8865          0.186533190495063
203              7072720093184      0      0    0              142952099939.727          6.85755371177435e-13
204              7070290018304      0      0    0              0          0
205              7053379633152      0      0    0              133898899732.011          4.80315257473487e-05
206              7053059817472      19407893364.8682      3369814206.74136    230.947062255618              94564950618.3843          5.0414454392973
207              7036559949824      39731466695.973      1064.1474417981    465.316030840548              101322543287.012          1.10900116661021e-13
208              7019949981696      4140375.59201575      1023556836.35164    253.744200611732              200171168095.006          6.32310899007073e-13
209              6964579401728      5432338879.09823      2140077.60580568    428.928576852136              159459497544.55          1.04124833687641e-12
210              6954260365312      18112160977.8582      9093615985.71589    214.693355707446              106175725276.548          470350.013378614
211              6929089822720      39190703637.2296      1107180080.75448    226.8591091257              111288649449.297          2.37443609341395e-05
212              6914890006528      2169787144.46517      2494936706.45807    283.603598060662              139795305050.052          27846.9637960359
213              6890879713280      36890430616.1724      0.387260062338496    428.400617080772              88011613510.406          5.90897338091135e-13
214              6887819444224      0      0    0              123946702215.739          116896.299003409
215              6819629498368      2047105356.06068      2420741114.2916    165.956567145367              32855481490.8063          132.743002372815
216              6700449923072      0      0    0              142568735650.01          323.340329455221
217              6654399610880      68812423070.6629      657951466.875665    271.58048495722              43531322036.9168          1.85886446694261e-06
218              6648940199936      10662921176.7408      399126051.593768    439.367398075574              164922086930.601          8.9443327792674e-08
219              6641599643648      0      0    0              72448038097.0987          1.2500294337577e-12
220              6617099665408      58365172459.5807      56132938.2211238    224.763326093718              51108907080.7571          7.62410205305274e-06
221              6584369414144      72469236540.3285      0.00458042567036402    572.037532609541              87205382180.7827          1.70136964292174e-13
222              6551660134400      20679317919.3792      16979976611.9191    153.788928008493              10193135622.048          142282938.192842
223              6550769893376      40635242292.2028      23432.4082865979    384.660044299354              135543461347.798          3.9786131859526e-10
224              6541480034304      29431.7182812657      26064264.7600592    178.640149730685              133672047541.181          2472.5639841428
225              6497640120320      12792629100.0175      -1.39408090728255e-30    699.679564991721              108618110110.168          1.67487016622181e-13
226              6423179689984      15119131310.8731      -1.1165119686222e-30    630.538140322039              143429955056.606          1.8284890263922e-13
227              6420729692160      11356109153.3992      19051874418.7413    199.975765131431              78133874823.9744          22449550.0367596
228              6370220310528      10629047647.2358      322330684.223814    294.17956347807              69334315153.3015          5.17869782141965e-09
229              6348829884416      54842628287.0918      3349185040.62306    334.043059783437              93416736218.3766          1.63938822962866e-12
230              6338299559936      48425684956.3554      20558.2332647797    302.10944382797              37905975022.6261          6.43234685437722e-13
