#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.675970    0.713723    0.755465   0.705069  0.010749
9.066667   0.644520    0.692752    0.728967   0.680298  0.007700
9.133333   0.622089    0.666134    0.701256   0.654306  0.010044
9.200000   0.591572    0.632537    0.672381   0.626646  0.006506
9.266667   0.540415    0.590309    0.641439   0.582180  0.010561
9.333333   0.493020    0.550152    0.602680   0.542848  0.009555
9.400000   0.456956    0.509881    0.565901   0.507904  0.009389
9.466667   0.404588    0.466485    0.526021   0.463762  0.009959
9.533333   0.356867    0.426428    0.495819   0.427210  0.011142
9.600000   0.304216    0.381252    0.457073   0.382644  0.011296
9.666667   0.265518    0.338463    0.421010   0.344147  0.011717
9.733333   0.212105    0.294706    0.381290   0.299946  0.012825
9.800000   0.176091    0.249743    0.346978   0.263376  0.012939
9.866667   0.144218    0.221130    0.308710   0.230497  0.011230
9.933333   0.130998    0.197110    0.282186   0.209635  0.009549
10.000000   0.106251    0.172352    0.256622   0.188892  0.009813
10.066667   0.090922    0.148259    0.214820   0.160014  0.006656
10.133333   0.083775    0.127986    0.186208   0.145200  0.005986
10.200000   0.072333    0.107262    0.156531   0.122840  0.004197
10.266667   0.067999    0.093665    0.144046   0.115744  0.004028
10.333333   0.070076    0.096756    0.147298   0.118438  0.004298
10.400000   0.064095    0.091084    0.127977   0.104007  0.002381
10.466667   0.066231    0.096751    0.131194   0.110412  0.003167
10.533333   0.063328    0.097557    0.139129   0.111047  0.003598
10.600000   0.062421    0.090335    0.126388   0.098761  0.002003
10.666667   0.069423    0.087387    0.104100   0.098017  0.001932
10.733333   0.061984    0.076308    0.112358   0.091400  0.002114
10.800000   0.060427    0.079254    0.088327   0.082490  0.000795
10.866667   0.057819    0.061541    0.075848   0.067763  0.000201
10.933333   0.070049    0.071626    0.078253   0.078338  0.000238
11.000000   0.060470    0.074352    0.093026   0.076740  0.000509
