#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-21.000000   130.279003    133.429311    136.579618   133.429311  79.395513
-20.666667   122.760218    128.180858    131.467354   126.046714  99.601685
-20.333333   111.586276    122.515763    125.136009   119.409396  88.319052
-20.000000   100.792085    105.245494    107.515692   104.454071  17.124762
-19.666667   91.631494    94.973576    98.729076   95.142863  19.976688
-19.333333   82.756593    85.842480    90.502868   86.967175  25.322952
-19.000000   78.219760    80.159214    83.005550   81.163581  27.600570
-18.666667   71.867699    75.339040    81.777257   77.548052  57.117752
-18.333333   68.121153    70.395270    78.520037   73.368431  52.244857
-18.000000   63.836072    67.611776    73.847354   69.597258  54.373388
