#2.nodeMass    #3.spheroidStellarMass    #4.spheroidGasMass    #5.diskStellarMass      #6.diskGasMass
1008208329132.37    13522934635.8594    6.15523309243274e-15    16569782219.6224      14626255.8749867
1011388626567.49    10507914325.4128    8.52496062613829e-19    11668092085.3759      3619634621.40664
1011707390195.18    38547053824.0878    4.33053209663976e-12    2047837806.239      1998365782.15688
1014253759433.58    14542406286.7771    9.73624255339335e-13    18683880727.2393      252051360.994136
1007878769242.45    11376923885.9869    1.52211764580744e-31    13995129897.6008      0.138644525205044
1010324049550.97    14189361100.4926    1.09902886138208e-15    21217512458.0639      689526886.349539
998867215042.067    5033118482.30256    3.35976799066934e-23    10872216036.8709      9136012168.02272
1003244423282.51    15598854652.617    2.44553645125443e-18    16040402059.4391      3550394378.35723
1009968668497.05    45483619837.5945    1.05043573021513e-07    2741952108.82129      2689167966.87957
951332882505.206    14784595901.4013    2.20174754021561e-23    17273058685.5201      815.094153571648
990335849542.639    23789498022.7477    125548099.139478    2962616.01606831      797126317.443059
988722998594.135    12095467440.8404    1.36427170651691e-12    16356465355.7412      3198586607.50202
993276073872.656    16631805940.8116    3.44900360153982e-16    11571235857.3951      5407746381.65622
988250905793.148    20685311728.4339    2.09800227720193e-06    29527521207.7938      1064895.85961919
992102580410.226    15779682794.2327    6.90655675605958e-27    17661538156.6148      0.531007206794417
987152706298.133    1941547734.05908    2.37569747090706e-36    2571530563.33038      4828934987.72908
987043377103.932    19255635910.7977    3.79096351401727e-15    25032096712.3698      4119.10861792517
982128751245.629    28519467190.7771    61439.294249723    586165028.5334      5748751441.32156
982091193270.305    4985517529.07628    6.6217914070865e-14    9864055222.16081      735940085.091875
989670608332.682    10117760215.1129    2195158.11845643    14403791469.6926      2145857779.54899
980029588475.086    25937190506.2479    6.61035004073827e-20    29973224460.5234      8.34424966893331e-06
991043866720.865    7781330685.11929    4.84300198006728e-06    15860676739.7403      6621314353.3642
978690147406.722    16429736288.3202    9.51369425685487e-14    24032595483.413      549097951.448333
985226636083.415    4213503972.99632    2.30970667912126e-20    7927759979.24158      6853794713.44958
984324600851.468    0    0    141534907.174407      12332926702.5135
979269113942.651    12316370398.9075    9.05342840077608e-15    16141748007.8824      0.0283503534829475
