#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.367765    0.433380    0.500717   0.432007  0.012379
9.600000   0.292449    0.368348    0.447959   0.368501  0.012632
9.700000   0.219602    0.303857    0.391821   0.306796  0.014298
9.800000   0.156771    0.239642    0.335047   0.248363  0.014006
9.900000   0.114127    0.192340    0.277604   0.198724  0.011550
10.000000   0.078321    0.144831    0.229461   0.159893  0.010746
10.100000   0.049313    0.099226    0.169662   0.117689  0.007447
10.200000   0.029171    0.057042    0.112942   0.078396  0.004642
10.300000   0.014132    0.033381    0.068942   0.053833  0.003646
10.400000   0.009652    0.025030    0.056787   0.042864  0.002409
10.500000   0.006614    0.018183    0.044120   0.037251  0.002458
10.600000   0.005632    0.015146    0.042111   0.032892  0.001717
10.700000   0.007459    0.020320    0.041660   0.033333  0.001627
10.800000   0.005135    0.014381    0.036308   0.025954  0.000825
10.900000   0.004032    0.013316    0.028918   0.020646  0.000498
11.000000   0.003599    0.011504    0.024256   0.018554  0.000448
11.100000   0.001857    0.003066    0.006393   0.006239  0.000063
11.200000   0.001870    0.004710    0.007778   0.005623  0.000025
11.300000   0.001858    0.002257    0.003547   0.003160  0.000005
11.400000   0.002651    0.002958    0.003265   0.002958  0.000001
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
