#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.527175    0.801401    0.993034   0.757836  0.058889
-21.533333   0.552954    0.907010    1.001277   0.785286  0.056350
-21.066667   0.531233    0.777544    0.991796   0.754861  0.055475
-20.600000   0.491583    0.605329    0.854279   0.662878  0.045558
-20.133333   0.489324    0.581908    0.759748   0.637208  0.038713
-19.666667   0.472826    0.543138    0.681423   0.595375  0.033836
-19.200000   0.446432    0.524589    0.598072   0.532230  0.020859
-18.733333   0.386035    0.487672    0.597368   0.496856  0.021797
-18.266667   0.361390    0.430423    0.569443   0.457405  0.025051
-17.800000   0.319138    0.414094    0.524333   0.418194  0.031920
-17.333333   0.239313    0.395112    0.508655   0.375910  0.037945
