0 0.06 1
0.06 0.12 5
0.12 0.18 15
0.18 0.24 38
0.24 0.3 132
0.3 0.36 423
0.36 0.42 1134
0.42 0.48 2567
0.48 0.54 3803
0.54 0.6 5513
0.6 0.66 10164
0.66 0.72 3009
0.72 0.78 251
0.78 0.84 187
0.84 0.9 159
0.9 0.96 137
0.96 1.02 124
1.02 1.08 129
1.08 1.14 80
1.14 1.2 92
1.2 1.26 95
1.26 1.32 78
1.32 1.38 78
1.38 1.44 86
1.44 1.5 68
1.5 1.56 73
1.56 1.62 57
1.62 1.68 60
1.68 1.74 66
1.74 1.8 55
1.8 1.86 52
1.86 1.92 50
1.92 1.98 48
1.98 2.04 42
2.04 2.1 33
2.1 2.16 33
2.16 2.22 39
2.22 2.28 18
2.28 2.34 11
2.34 2.4 12
2.4 2.46 9
2.46 2.52 3
2.52 2.58 0
2.58 2.64 1
2.64 2.7 1
2.7 2.76 0
2.76 2.82 0
2.82 2.88 0
2.88 2.94 0
2.94 3 0
