#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.quartil4
1.100000e+01   -6.201763    -5.256112    -3.880619   -2.505126
1.102400e+01   -3.939193    -2.741210    -2.577592   -2.419312
1.104800e+01   -6.943214    -4.548851    -2.675548   -2.237760
1.107200e+01   -4.983166    -2.824939    -2.794453   -2.763966
1.109600e+01   -3.564791    -2.634665    -2.530994   -2.292539
1.112000e+01   -2.812471    -2.561477    -2.457650   -2.295328
1.114400e+01   -2.710762    -2.517196    -2.392352   -1.347335
1.116800e+01   -2.736732    -2.516848    -2.373074   -1.374775
1.119200e+01   -2.718916    -2.541824    -2.396772   -1.277488
1.121600e+01   -2.716100    -2.525298    -2.365339   -0.910983
1.124000e+01   -2.763362    -2.553163    -2.352636   -0.988868
1.126400e+01   -2.715899    -2.487225    -2.293134   -1.249591
1.128800e+01   -2.698406    -2.466272    -2.261833   -1.139908
1.131200e+01   -2.670494    -2.464575    -2.254512   -1.136028
1.133600e+01   -2.691821    -2.537245    -2.290645   -1.199341
1.136000e+01   -2.735083    -2.535445    -2.264423   -1.109933
1.138400e+01   -2.730745    -2.533894    -2.263321   -1.115393
1.140800e+01   -2.737346    -2.537045    -2.286230   -1.112512
1.143200e+01   -2.685824    -2.510965    -2.265872   -1.097029
1.145600e+01   -2.692895    -2.525439    -2.249470   -1.192889
1.148000e+01   -2.723061    -2.497955    -2.309027   -1.152860
1.150400e+01   -2.763301    -2.564492    -2.225305   -1.126303
1.152800e+01   -2.683903    -2.521197    -2.181788   -1.082763
1.155200e+01   -2.759635    -2.557190    -2.267014   -1.115478
1.157600e+01   -2.725552    -2.514951    -2.177403   -1.102048
1.160000e+01   -2.764378    -2.556371    -2.265480   -1.159499
1.162400e+01   -2.714518    -2.535732    -2.278285   -1.141614
1.164800e+01   -2.733581    -2.508134    -2.172099   -1.083111
1.167200e+01   -2.660620    -2.465017    -2.039355   -1.098385
1.169600e+01   -2.728325    -2.442175    -1.595167   -1.173718
1.172000e+01   -2.797612    -2.394275    -1.541744   -1.098435
1.174400e+01   -2.697933    -2.457390    -1.853793   -1.228426
1.176800e+01   -2.645342    -2.333517    -1.675113   -1.177563
1.179200e+01   -2.581601    -2.223975    -1.457214   -1.126630
1.181600e+01   -2.657011    -2.335626    -1.553030   -1.075509
1.184000e+01   -2.610676    -2.307273    -1.490623   -1.138658
1.186400e+01   -2.743661    -2.471068    -1.834824   -1.177736
1.188800e+01   -2.699043    -2.372670    -1.492381   -1.209466
1.191200e+01   -2.519260    -2.084999    -1.493274   -1.200330
1.193600e+01   -2.582549    -2.121432    -1.426102   -1.187165
1.196000e+01   -2.618450    -2.313462    -1.558420   -1.291291
1.198400e+01   -2.589422    -2.319450    -1.602331   -1.215280
1.200800e+01   -2.618727    -2.046817    -1.485084   -1.228975
1.203200e+01   -2.590036    -1.750337    -1.444550   -1.220308
1.205600e+01   -2.340717    -1.679045    -1.420104   -1.218050
1.208000e+01   -2.438929    -1.765765    -1.425186   -1.215163
1.210400e+01   -1.949132    -1.576504    -1.445424   -1.253970
1.212800e+01   -2.150909    -1.618217    -1.397717   -1.227657
1.215200e+01   -2.555223    -1.919395    -1.529126   -1.326937
1.217600e+01   -2.354095    -1.533111    -1.395405   -1.272120
1.220000e+01   -2.424778    -1.793086    -1.626613   -1.419794
1.222400e+01   -1.932031    -1.575930    -1.468708   -1.284420
1.224800e+01   -2.200641    -1.642552    -1.470806   -1.312083
1.227200e+01   -2.330619    -1.588209    -1.482692   -1.334634
1.229600e+01   -2.083040    -1.640124    -1.454803   -1.365371
1.232000e+01   -1.804802    -1.538343    -1.434160   -1.316165
1.234400e+01   -2.254422    -1.885551    -1.483150   -1.332632
1.236800e+01   -2.384220    -1.773496    -1.482597   -1.355558
1.239200e+01   -2.142764    -1.641870    -1.466541   -1.276351
1.241600e+01   -1.694315    -1.623581    -1.559743   -1.314077
1.244000e+01   -1.759470    -1.659531    -1.558018   -1.499644
1.246400e+01   -1.761728    -1.662494    -1.528276   -1.207538
1.248800e+01   -1.837127    -1.635990    -1.572860   -1.529656
1.251200e+01   -1.723214    -1.599930    -1.528190   -1.394056
1.253600e+01   -2.187645    -1.750086    -1.568140   -1.320683
1.256000e+01   -2.168956    -1.720374    -1.602313   -1.484755
1.258400e+01   -2.273260    -1.908864    -1.725999   -1.538336
1.260800e+01   -2.021648    -1.742422    -1.683075   -1.524246
1.263200e+01   -2.368413    -1.782315    -1.675949   -1.535948
1.265600e+01   -2.018474    -1.880892    -1.811844   -1.483590
1.268000e+01   -1.948129    -1.840072    -1.783753   -1.624159
1.270400e+01   -2.063837    -1.927786    -1.768954   -1.649581
1.272800e+01   -2.358378    -1.931118    -1.678187   -1.605773
1.275200e+01   -2.231257    -2.138640    -1.983856   -1.844647
1.277600e+01   -1.994479    -1.864721    -1.762544   -1.628801
1.280000e+01   -2.133480    -1.986404    -1.834333   -1.635165
1.282400e+01   -2.444506    -2.326983    -2.065567   -1.638046
1.284800e+01   -2.083517    -1.976211    -1.917533   -1.875041
1.287200e+01   -1.911021    -1.782477    -1.713772   -1.609045
1.289600e+01   -2.489032    -2.237766    -1.936483   -1.743415
1.292000e+01   -2.083569    -2.023620    -1.886475   -1.661957
1.294400e+01   -2.323196    -2.187517    -2.087946   -1.867911
1.296800e+01   -2.243345    -2.185279    -1.953552   -1.833389
1.299200e+01   -2.417150    -2.108123    -2.018935   -1.852176
