0 0.8 116
0.8 1.6 6058
1.6 2.4 1092
2.4 3.2 551
3.2 4 341
4 4.8 251
4.8 5.6 160
5.6 6.4 111
6.4 7.2 89
7.2 8 59
8 8.8 53
8.8 9.6 38
9.6 10.4 33
10.4 11.2 19
11.2 12 15
12 12.8 4
12.8 13.6 0
13.6 14.4 1
14.4 15.2 1
15.2 16 0
16 16.8 0
16.8 17.6 2
17.6 18.4 1
18.4 19.2 0
19.2 20 0
