0 0.06 0
0.06 0.12 3
0.12 0.18 11
0.18 0.24 25
0.24 0.3 115
0.3 0.36 455
0.36 0.42 1204
0.42 0.48 3398
0.48 0.54 8889
0.54 0.6 11896
0.6 0.66 2057
0.66 0.72 229
0.72 0.78 107
0.78 0.84 97
0.84 0.9 75
0.9 0.96 71
0.96 1.02 68
1.02 1.08 60
1.08 1.14 59
1.14 1.2 47
1.2 1.26 46
1.26 1.32 39
1.32 1.38 21
1.38 1.44 8
1.44 1.5 21
1.5 1.56 8
1.56 1.62 11
1.62 1.68 7
1.68 1.74 3
1.74 1.8 1
1.8 1.86 0
1.86 1.92 0
1.92 1.98 0
1.98 2.04 0
2.04 2.1 0
2.1 2.16 0
2.16 2.22 1
2.22 2.28 0
2.28 2.34 0
2.34 2.4 0
2.4 2.46 0
2.46 2.52 0
2.52 2.58 0
2.58 2.64 0
2.64 2.7 0
2.7 2.76 0
2.76 2.82 0
2.82 2.88 0
2.88 2.94 0
2.94 3 0
