#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   192.841120    192.841120    192.841120   192.841120  -nan
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   117.229517    117.229517    117.229517   117.229517  -nan
-21.333333   135.475767    141.631601    152.057472   148.782633  634.548777
-21.000000   111.892085    115.720006    127.566866   119.581580  148.644087
-20.666667   110.748127    116.898598    120.711405   116.400838  77.764188
-20.333333   98.996955    103.766258    109.080495   104.257451  62.109364
-20.000000   88.603683    92.836441    96.909494   93.358081  45.682389
-19.666667   79.697512    83.132538    87.098770   83.771793  31.354659
-19.333333   72.942451    75.505246    78.733339   76.004648  22.558572
-19.000000   66.213707    68.390054    70.908538   68.907664  16.296802
-18.666667   60.312082    62.022934    64.073611   62.679153  16.114104
-18.333333   56.050863    57.530939    59.332560   58.581822  19.990010
-18.000000   52.818030    54.200163    56.583890   56.170163  35.423264
